Texto,Sesgo,Tweet_procesado
@liederabendcat muchaas!! y algunas muy bonitaas! pero es verdad que se tiende a interpretar los 40 principales..   ,0,"['muchaas', 'bonitaas', 'verdad', 'tiende', 'interpretar', 'principales']"
@kraulot hahahaha yo aquí esperando impaciente ,0,"['hahahaha', 'aquí', 'esperando', 'impaciente']"
"@samm_bntz bebé, no sé si sea error de dedo cuando ando de chismosa o es que a leos y a ti, no los quieren en mi lista de amigos en insta",1,"['bebé', 'sé', 'si', 'error', 'dedo', 'ando', 'chismosa', 'leo', 'quieren', 'lista', 'amigo', 'insta']"
@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,0,"['grasioso', 'vez', 'aspirar', 'ser', 'alcalde', 'aspiras', 'concejal']"
@santizuza  vete buscandote un ayudante que sepa de medicina porque entre digard y riviere haras las cronicas desde la enfermeria ,0,"['vete', 'buscandote', 'ayudante', 'sepa', 'medicina', 'digard', 'riviere', 'haras', 'cronicas', 'enfermeria']"
@toni_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,0,"['seria', 'mejor', 'dejasen', 'emitir', 'basura', 'evolucionar', 'bien']"
las mujeres son más pasionales,1,"['mujeres', 'pasionales']"
se viene pelea y de las fuertes entre willy toledo y el pequeño nicolás #hableconellas,0,"['viene', 'pelea', 'fuertes', 'willy', 'toledo', 'pequeño', 'nicolás']"
@anhela_ @maxferibar @elprogramadear @psoe así es compañera. un fuerte abrazo! ,0,"['así', 'compañera', 'fuerte', 'abrazo']"
@radicaiizate @pvaya pero... ella... no es verde!!!! aunque ahora que lo dices... es muy... eh... ,0,"['verde', 'aunque', 'ahora', 'dice', 'eh']"
si te encontrará tras cien años encontraré tus ojos negros entre millones de ojos negros,0,"['si', 'encontrará', 'tras', 'cien', 'años', 'encontraré', 'ojos', 'negro', 'millones', 'ojos', 'negro']"
@alexiapalacio me dan asco los higos o no sé qué y todo en general,0,"['dan', 'asco', 'higos', 'sé', 'general']"
@olgamatilde lo bueno que los años se están yendo muy rápido y pronto vendrá el siguiente invierno,0,"['bueno', 'años', 'yendo', 'rápido', 'pronto', 'vendrá', 'siguiente', 'invierno']"
@tribuna_i apenas inició el torneo y ya están diciendo si ya va la buena para @chivas hay equipos mejores que el rebaño,0,"['apenas', 'inició', 'torneo', 'diciendo', 'si', 'va', 'buena', 'equipos', 'mejores', 'rebaño']"
@albgard oh  ¿me estás llamando gordo? jajaja grazie ruliño  lo mismo puedo decir ,1,"['oh', 'llamando', 'gordo', 'jajaja', 'grazie', 'ruliño', 'mismo', 'puedo', 'decir']"
que dificil es retomar los estudios despues de dos meses sin tocar un libro.. #pereza #ganascero #septiembre=examen ,0,"['dificil', 'retomar', 'estudios', 'despues', 'do', 'me', 'tocar', 'libro', 'examen']"
días!!! suelta las viejas creencias. cambia tu energía. cruza los límites imaginarios. usa tu corazón. libera tu niño interior... besitos,0,"['días', 'suelta', 'viejas', 'creencias', 'cambium', 'energía', 'cruza', 'límites', 'imaginarios', 'usa', 'corazón', 'libera', 'niño', 'interior', 'besitos']"
@edwardchdz @galmty discúlpame! apenas vi! no todo estaba abierto y normal,0,"['discúlpame', 'apenas', 'vi', 'abierto', 'normal']"
"@_nosoyartista @telcel @att pues si, yo creo, mi papá me dejo un equipo att y al igual lo uso mejor, porque ya estoy harta de esto.",0,"['pues', 'si', 'creo', 'papá', 'dejo', 'equipo', 'att', 'igual', 'uso', 'mejor', 'harta']"
por cierto @advystyles podria hablar contigo por md? gracias ,0,"['cierto', 'podria', 'hablar', 'contigo', 'md', 'gracias']"
"ojalá se ponga de moda tener un poco de respeto y educación. no sólo des like, aplícalo en tu vida! no aparentes cosas q no son! #anotele",0,"['ojalá', 'ponga', 'moda', 'tener', 'respeto', 'educación', 'sólo', 'de', 'like', 'aplícalo', 'vida', 'aparentes', 'cosas', 'q']"
"@contactocitibmx en la mañana habían retenido la compra en linea porque pensaban que era fraude con la tarjeta, pero ya lo resolvieron.",0,"['mañana', 'retenido', 'compra', 'linea', 'pensaban', 'fraude', 'tarjeta', 'resolvieron']"
"me afeité hace dos días y no me puedo arrepentir más. ahora aprece que tengo 5 años, y no me toman en serio ",0,"['afeité', 'hace', 'do', 'días', 'puedo', 'arrepentir', 'ahora', 'aprece', 'años', 'toman', 'serio']"
@virginiadlp ahora es cuando tomo mis notas y comienzo a hacerle preguntas a mi nueva hija ,1,"['ahora', 'tomo', 'notas', 'comienzo', 'hacerle', 'preguntas', 'nueva', 'hija']"
tengo dos orzuelos enquistados en el ojo izquierdo y me hacen la cara muy asimétrica. me veo raro ,0,"['do', 'orzuelos', 'enquistados', 'ojo', 'izquierdo', 'hacen', 'cara', 'asimétrica', 'veo', 'raro']"
@lahierritos pues sabran més q jo *curso ccc de mirones y mironas ,0,"['pues', 'sabran', 'més', 'q', 'jo', 'curso', 'ccc', 'mirones', 'mironas']"
"eres un hombre, no puedes llorar.",1,"['hombre', 'puedes', 'llorar']"
"la única a la que le voy a decir es a mi novia. así que si no me estás pagando ningún recibo de mi casa, no estés chingando",0,"['única', 'voy', 'decir', 'novia', 'así', 'si', 'pagando', 'ningún', 'recibo', 'casa', 'chingando']"
@txemacg @antoniosanto yo lo hice en el cole ! fuimos a trafico un par de días a aprender a circular con bici  (colegio público),0,"['hice', 'cole', 'trafico', 'par', 'días', 'aprender', 'circular', 'bici', 'colegio', 'público']"
pintarse las uñas es de chicas.,1,"['pintarse', 'uñas', 'chicas']"
"días!!! no tengas miedo de vivir, rómpete el corazón y el alma, que la vida se nos da no para regresarla intacta, sino vivida... besitos",0,"['días', 'miedo', 'vivir', 'rómpete', 'corazón', 'alma', 'vida', 'da', 'regresarla', 'intacta', 'sino', 'vivida', 'besitos']"
(en una entrevista de trabajo): ¿tienes pensado tener hijos?,1,"['entrevista', 'trabajo', 'pensado', 'tener', 'hijos']"
@marinaytal te pico mucho. eres muy graciosa. me río con tus chistes de kk. me odias porque no me gusta suicide silence ,1,"['pico', 'graciosa', 'río', 'chistes', 'kk', 'odias', 'gusta', 'suicide', 'silence']"
"tengo ganas de bronca estoy aburrido, proximo tweet abro el cajon de mierda ",0,"['ganas', 'bronca', 'aburrido', 'proximo', 'tweet', 'abro', 'cajon', 'mierda']"
los hombres son racionales y las mujeres emocionales,1,"['hombre', 'racionales', 'mujeres', 'emocionales']"
"lo he añadido porque antes no sabia hacerlo, pero estuve leyendo estos dias bastante y encontre el modo de hacerlo perfecto ",0,"['añadido', 'sabia', 'hacerlo', 'leyendo', 'dia', 'bastante', 'encontre', 'modo', 'hacerlo', 'perfecto']"
muchas gracias por este fantástico post  @conelmorrofino,0,"['muchas', 'gracias', 'fantástico', 'post']"
"de esto que sueñas que estás comiendo poutine, te despiertas, ves que no hay poutine y quieres llorar  pocas cosas echo más de menos",0,"['sueñas', 'comiendo', 'poutine', 'despiertas', 'f', 'poutine', 'quieres', 'llorar', 'pocas', 'cosas', 'echo', 'menos']"
4:18 am. que gran dilema. ¿despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? pd. venga saliendo del trabajo,1,"['am', 'gran', 'dilema', 'despertar', 'mamá', 'baje', 'abrirme', 'dejar', 'siga', 'durmiendo', 'pd', 'venga', 'saliendo', 'trabajo']"
cuando tus colegas se ponen a alabar a los musicos de estopa y pasan de ti que eres la estopera. tener amigos pa esto ,0,"['colegas', 'ponen', 'alabar', 'musicos', 'estopa', 'pasan', 'estopera', 'tener', 'amigo', 'pa']"
@agarotadipanema @montano66 yo solo cité la gran definición que dio de ellos muy pronto el artista omar jerez ,0,"['solo', 'cité', 'gran', 'definición', 'dio', 'pronto', 'artista', 'omar', 'jerez']"
pero llegar al hogar me da inmediata alegría en el corazón. y así es como mis días cierran bonito desde hace un tiempo.,0,"['llegar', 'hogar', 'da', 'inmediata', 'alegría', 'corazón', 'así', 'días', 'cierran', 'bonito', 'hace', 'tiempo']"
mientras luchamos por separado nos vencen juntos,0,"['mientras', 'luchamos', 'separado', 'vencen', 'junto']"
"oie , adoro mi cuenta , llena de cosas bonitas ",0,"['oie', 'adoro', 'cuenta', 'llena', 'cosas', 'bonitas']"
salimos @uruguaya79 para zaragoza  fin de semana único,0,"['salimos', 'zaragoza', 'fin', 'semana', 'único']"
@radiocable siempre caen los mejores.  suerte.,0,"['siempre', 'caen', 'mejores', 'suerte']"
"@reinadelosgatos mira el hilo, que está explicado  es el primer planeta (b) de la estrella próxima centaur próxima centauri b",0,"['mira', 'hilo', 'explicado', 'primer', 'planeta', 'b', 'estrella', 'próxima', 'centaur', 'próxima', 'centauri', 'b']"
no sabía que el ser humano fuese capaz de producir tanto moco verde. hasta ahora. #ganandocomosiempre,0,"['sabía', 'ser', 'humano', 'capaz', 'producir', 'moco', 'verde', 'ahora']"
"@anabrendac: hola, paso a desearte un feliz año nuevo 2017 y que esté lleno de salud, abundancia y éxitos para ti y para los tuyos",0,"['hola', 'paso', 'desearte', 'feliz', 'año', 'nuevo', 'lleno', 'salud', 'abundancia', 'éxitos']"
mi drama es que ahora me sale primero @taracanto en vez de @/blascanto y me confundo bc costumbre de dar al primer user ,0,"['drama', 'ahora', 'sale', 'primero', 'vez', 'blascanto', 'confundo', 'bc', 'costumbre', 'dar', 'primer', 'user']"
"@tuamigatuitera pues ya ni nos hablas y si iré, iré como el 20 o algo así de enero!",0,"['pues', 'hablas', 'si', 'iré', 'iré', 'así', 'enero']"
pues empecé mi día con el pie derecho... metido en un monte de tierra por las reparaciones de las calles,0,"['pues', 'empecé', 'día', 'pie', 'derecho', 'metido', 'monte', 'tierra', 'reparaciones', 'calles']"
@aquilatiki no tengo  pero en iphone esta la app tubex que te deja salirte y seguir escuchando canciones y se pasan solas,0,"['iphone', 'app', 'tubex', 'deja', 'salirte', 'seguir', 'escuchando', 'canciones', 'pasan', 'solas']"
ayay quiero grrabar un trocito de drown con el ukelele porque tiene que quedar preciosa. pero tengo la voz fatal ,0,"['ayay', 'quiero', 'grrabar', 'trocito', 'drown', 'ukelele', 'quedar', 'preciosa', 'voz', 'fatal']"
"@weexmx un mes esperando mi chip 4g, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay",0,"['me', 'esperando', 'chip', 'g', 'llego', 'piden', 'dirección', 'razón', 'desconocida', 'voy', 'eleven', 'chip']"
"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a rusia en breve ",0,"['aaahm', 'bueno', 'disfruta', 'vida', 'lares', 'vuelvo', 'rusia', 'breve']"
"@garbimuguruza yo cuando pueda quiero tener el omega constellation,, con los numéricos romanos. ",0,"['pueda', 'quiero', 'tener', 'omega', 'constellation', 'numéricos', 'romanos']"
@idolsftdjom @_jesus_om @danieloviedom obviamente tia jajajajaja q soy la mayor  osqqqqq pero venir ya ofu,0,"['obviamente', 'tia', 'jajajajaja', 'q', 'mayor', 'osqqqqq', 'venir', 'ofu']"
"por que no hacen perfumes de ropa nueva? es el olor mas hermoso, consumista y de cierto modo capitalista del mundo",0,"['hacen', 'perfume', 'ropa', 'nueva', 'olor', 'ma', 'hermoso', 'consumista', 'cierto', 'modo', 'capitalista', 'mundo']"
"@kidrauhlsolotu mira,así haces ejercicio jajaja ",0,"['miraasí', 'haces', 'ejercicio', 'jajaja']"
dreamer para siempre  @officialcritika @officialsaik os quiero chicos quier abrazaros https://t.co/oldfpq0cd9,0,"['dreamer', 'siempre', 'quiero', 'chico', 'quier', 'abrazaros']"
@miradadelaluna @finisimapersona lo vi antes y pensé que era brom si yo fuera mejicano lo construía delante de tejas  o más. saludos.,0,"['vi', 'pensé', 'brom', 'si', 'mejicano', 'construía', 'delante', 'tejas', 'saludos']"
"@konemak hay películas que por acuerdos de sus distribuidoras, es de la única manera en pueden estar dentro del catálogo",0,"['películas', 'acuerdos', 'distribuidoras', 'única', 'manera', 'pueden', 'dentro', 'catálogo']"
"la soberbia no es nada buena, no confíes en el ni en ella!",0,"['soberbia', 'buena', 'confíes']"
"a como veo las cosas, no me va gustar el resultado final de este partido.. no hay manera si un equipo juega a ganar y el otro....",0,"['veo', 'cosas', 'va', 'gustar', 'resultado', 'final', 'partido', 'manera', 'si', 'equipo', 'juega', 'ganar']"
"@crisasanz claro, yo no digo que sea fácil... para nada, yo llevo años intentándolo y será mi trabajo vital, pero quiero intentarlo ",0,"['claro', 'digo', 'fácil', 'llevo', 'años', 'intentándolo', 'trabajo', 'vital', 'quiero', 'intentarlo']"
@comunikaa2 me alegro mucho!! es importante darnos cuenta del gran valor que podemos aportar y encontrar nuestra misión ,0,"['alegro', 'importante', 'darnos', 'cuenta', 'gran', 'valor', 'podemos', 'aportar', 'encontrar', 'misión']"
"@yestermansux oye vi una hiper padre en morelia, no así pero muuuy chida. costaba como $200. si la quieres, me avisas.",0,"['oye', 'vi', 'hiper', 'padre', 'morelia', 'así', 'muuuy', 'chida', 'costaba', 'si', 'quieres', 'avisas']"
pa kuando la siguiente temporada de rick y morty ,0,"['pa', 'kuando', 'siguiente', 'temporada', 'rick', 'morty']"
"@kriisvlc @informativost5 @telecincoes noooo estamos todos en lucena, q miedo ya no se puede estar tampoco tranquilos en la playa  ",0,"['noooo', 'lucena', 'q', 'miedo', 'puede', 'tampoco', 'tranquilos', 'playa']"
@garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,0,"['total', 'absolutamente', 'desesperanzada']"
.@enricaar @aurearamon @congreso_es @esquerra_erc @gabrielrufian el sigu escuela y administración trilingüe.  ¿le parece?  #somescola,0,"['sigu', 'escuela', 'administración', 'trilingüe', 'parece']"
¿ya ven porque les dije que no hagan un examen del que no están seguros de hacer? no aprobé mi ceneval chales.,0,"['ven', 'dije', 'hagan', 'examen', 'seguros', 'hacer', 'aprobé', 'ceneval', 'chales']"
@vigarcu @saez_cristina @muyinteresante están comenzando a hacerse un poco visibles ahora. y ya van por su segundo modelo fairphone 2 ,0,"['comenzando', 'hacerse', 'visibles', 'ahora', 'van', 'segundo', 'modelo', 'fairphone']"
@kosto_trading @juanrallo o ponerte un casco de moto que te cubra por entero ,0,"['ponerte', 'casco', 'moto', 'cubra', 'entero']"
2h y 31m para que acabe tu descarga me cago en mi puta vida.,0,"['h', 'm', 'acabe', 'descarga', 'cago', 'puta', 'vida']"
"@filibrown jajajajajaja. de todos esos nomás rebozos merco, jajaja. mi troca es tailandesa no la han traído a silao uu",0,"['jajajajajaja', 'nomás', 'rebozo', 'merco', 'jajaja', 'troca', 'tailandesa', 'traído', 'silao', 'uu']"
"lo bueno, después de dos meses por fin un domingo libre a disfrutar. lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer",0,"['bueno', 'después', 'do', 'me', 'fin', 'domingo', 'libre', 'disfrutar', 'malo', 'falte', 'hospital', 'resaca', 'vuelvo', 'hacer']"
@mariio97 2 asistencias me han faltado para el triple doble ,0,"['asistencias', 'faltado', 'triple', 'doble']"
@najeraa13 creo que soy la única que pringa trabajando todo el verano y todo septiembre ,0,"['creo', 'única', 'pringa', 'trabajando', 'verano', 'septiembre']"
ultimo día de vacaciones ya el lunes a la escuela noooo!,0,"['ultimo', 'día', 'vacaciones', 'lunes', 'escuela', 'noooo']"
@angybir @brujulaondacero gracias! horarios un poco distintos pero ahí estamos ,0,"['gracias', 'horarios', 'distintos', 'ahí']"
"@iaz84 jajaja no ser maléfica, de verdad la comida esta muy mal y el servicio igual, con las ganas que tenia de un buen coctel y caldo",0,"['jajaja', 'ser', 'maléfica', 'verdad', 'comida', 'mal', 'servicio', 'igual', 'ganas', 'tenia', 'buen', 'coctel', 'caldo']"
"@lttgrl  hmmm pues no se como poder ayudarte mas , a veces es cierto que cuando estoy muy cabreado ni mi truco me sirve ",0,"['hmmm', 'pues', 'poder', 'ayudarte', 'ma', 'veces', 'cierto', 'cabreado', 'truco', 'sirve']"
"@intrascendente jajaja ya es parte de ti y está bonito y está bien, hombre",0,"['jajaja', 'parte', 'bonito', 'bien', 'hombre']"
"fui a @cinemex x lo cerca que esta de mi casa solo p ver q no tienen la llegada  #fail ya estoy en @cinepolis , no hay como en casa!",0,"['x', 'cerca', 'casa', 'solo', 'p', 'ver', 'q', 'llegada', 'casa']"
"@david_bonilla no poderme quedar el sábado al evento familiar de la @tarugoconf me jode, pero la familia me necesita en bcn ",0,"['poderme', 'quedar', 'sábado', 'evento', 'familiar', 'jode', 'familia', 'necesita', 'bcn']"
@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el cómetelo ahí jajajaja,1,"['puto', 'mal', 'escribo', 'b', 'sigo', 'surrando', 'help', 'quedado', 'raro', 'cómetelo', 'ahí', 'jajajaja']"
me encanta como han decidido a que universidad voy a ir sin ni siquiera consultarmelo ,1,"['encanta', 'decidido', 'universidad', 'voy', 'ir', 'siquiera', 'consultarmelo']"
así nunca te vas a echar un novio.,1,"['así', 'nunca', 'va', 'echar', 'novio']"
"quiero teñirme el pelo, pero a la vez no, y tampoco sé de qué color, solo sé que quiero hacer algo y es muy sad ",0,"['quiero', 'teñirme', 'pelo', 'vez', 'tampoco', 'sé', 'color', 'solo', 'sé', 'quiero', 'hacer', 'sad']"
@boardgametotal los ábacos si están permitidos. sobre todo porque la mayoría no saben usarlo ,0,"['ábacos', 'si', 'permitidos', 'mayoría', 'saben', 'usarlo']"
muy preocupada porque no me crecen mas uñas desde que intenté pegar las postizas con superglu en vez de con el pegamento cosmético ,0,"['preocupada', 'crecen', 'ma', 'uñas', 'intenté', 'pegar', 'postizas', 'superglu', 'vez', 'pegamento', 'cosmético']"
"allí donde mandan mujeres y labran vacas, mal año asegurado",1,"['allí', 'mandan', 'mujeres', 'labran', 'vacas', 'mal', 'año', 'asegurado']"
@salvadorop no existió recalentado de año nuevo por qué ni cena hubo.,0,"['existió', 'recalentado', 'año', 'nuevo', 'cena']"
"no puede ser que ya no me pueda ni eresar en esta red social por qué todo se lo rolan a mi mamá, créeme que no ayudas en nada",1,"['puede', 'ser', 'pueda', 'eresar', 'red', 'social', 'rolan', 'mamá', 'créeme', 'ayudas']"
@jorgeoneer ya pero no soy mucho de pc. no es muy potente el mío ,0,"['pc', 'potente']"
"en serio, te amo @leodicaprio ",0,"['serio', 'amo']"
"queridos reyes quiero: 1. voluntad para dejar de tragar... y ya con eso toda mi vida se resuelve, ah sí bueno y un dragón",0,"['queridos', 'reyes', 'quiero', 'voluntad', 'dejar', 'tragar', 'toda', 'vida', 'resuelve', 'ah', 'bueno', 'dragón']"
"@mariobautista_ soy mala bautister, no puse el 11:14",0,"['mala', 'bautister', 'puse']"
@guadaverygudsup un feto muy bonito,0,"['feto', 'bonito']"
"últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en instagram. ¿para cuándo un chico decente? ",1,"['últimamente', 'siguiendo', 'chicas', 'perfiles', 'bastante', 'subidos', 'tono', 'instagram', 'cuándo', 'chico', 'decente']"
"@sonrisachocolat gracias niñuca es preciosa, te prometo que me has alegrado la tarde con este detalle tan bello y enternecedor. mil besos ",0,"['gracias', 'niñuca', 'preciosa', 'prometo', 'alegrado', 'tarde', 'detalle', 'tan', 'bello', 'enternecedor', 'mil', 'besos']"
es culera pero así la quiero,1,"['culera', 'así', 'quiero']"
@jorgegarzon_  una ruta ideal para disfrutar en familia de los @vallespasiegos ,0,"['ruta', 'ideal', 'disfrutar', 'familia']"
@jonbarandica ha sido un acierto muy grande el de anoche ,0,"['sido', 'acierto', 'grande', 'anoche']"
"@crisasanz gracias, guapa!! menuda promoción me haces!! eres un sol ",0,"['gracias', 'guapa', 'menuda', 'promoción', 'haces', 'sol']"
@bearjhony te portaste mal... que bueno ve por tus propios regalos y a tu gusto,0,"['portaste', 'mal', 'bueno', 've', 'propios', 'regalos', 'gusto']"
voy a dejarme crecer las cejas a tope en plan naturales porque ,0,"['voy', 'dejarme', 'crecer', 'cejas', 'tope', 'plan', 'naturales']"
"hoy es cumpleaños el maestro bowie, un capricornio en todo sentido, que en paz descanse. hay nuevo ep y sonó su legado hoy en carretera",0,"['hoy', 'cumpleaños', 'maestro', 'bowie', 'capricornio', 'paz', 'descanse', 'nuevo', 'ep', 'sonó', 'legado', 'hoy', 'carretera']"
@aramalikian lo hemos pasado en grande con las 4 estaciones. una auténtica gozada para toda la familia ,0,"['pasado', 'grande', 'estaciones', 'auténtica', 'gozada', 'toda', 'familia']"
"y así, con tu gran ocico cerrado es como te ves más o menos bonita",1,"['así', 'gran', 'ocico', 'cerrado', 'f', 'menos', 'bonita']"
siento el spam. quiero que comprendáis  y compartáis conmigo la felicidad de este momento. espero ser el mejor capitán de todos! ,0,"['siento', 'spam', 'quiero', 'comprendáis', 'compartáis', 'conmigo', 'felicidad', 'momento', 'espero', 'ser', 'mejor', 'capitán']"
"@aikonmx ay, poes qué delicado nosierto.",1,"['ay', 'poe', 'delicado', 'nosierto']"
"otra noche... buenos días, alguien sabe por cuantas mas pasare?!?!",0,"['noche', 'buenos', 'días', 'alguien', 'sabe', 'cuantas', 'ma', 'pasare']"
"el temor de un hombre sabio, la saga millenium, canción de hielo y fuego, y un largo etc ",0,"['temor', 'hombre', 'sabio', 'saga', 'millenium', 'canción', 'hielo', 'fuego', 'largo', 'etc']"
ojalá me dijeran que estoy bonita tanto como se lo dicen a sergio quembidia pero esque esta hermoso unu,1,"['ojalá', 'dijeran', 'bonita', 'dicen', 'sergio', 'quembidia', 'esque', 'hermoso', 'unu']"
filosófico: estoy hasta el pito d muchas cosas. creo q he alcanzado mi siguiente nivel d cinismo/valemadrismo. el año d mis 30 pinta bien,0,"['filosófico', 'pito', 'd', 'muchas', 'cosas', 'creo', 'q', 'alcanzado', 'siguiente', 'nivel', 'd', 'cinismovalemadrismo', 'año', 'd', 'pinta', 'bien']"
"#eslaultimavezquetedigo que lo que siento por ti, no lo siento por nadie más ¡entiéndelo carajo! santiago olavarría",0,"['siento', 'siento', 'nadie', 'entiéndelo', 'carajo', 'santiago', 'olavarría']"
@seestrena #seestrenasietevidas sería un gato tipo garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,0,"['gato', 'tipo', 'garfield', 'porqué', 'vago', 'porqué', 'encanta', 'lasaña']"
