Texto,Sesgo,Texto_preprocesado,Texto_token,Sin_palabras_vacias,Texto_stemmed_PS,Text_stemmed_SS,Texto_lemma
@caelike estuve contigo en la transmisión saludos hermosa quisiera poder vertw y darte un mega abrazo y un besote te quiero,1, estuve contigo en la transmisión saludos hermosa quisiera poder vertw y darte un mega abrazo y un besote te quiero,"['estuve', 'contigo', 'en', 'la', 'transmisión', 'saludos', 'hermosa', 'quisiera', 'poder', 'vertw', 'y', 'darte', 'un', 'mega', 'abrazo', 'y', 'un', 'besote', 'te', 'quiero']","['contigo', 'transmisión', 'saludos', 'hermosa', 'quisiera', 'poder', 'vertw', 'darte', 'mega', 'abrazo', 'besote', 'quiero']","['contigo', 'transmisión', 'saludo', 'hermosa', 'quisiera', 'poder', 'vertw', 'dart', 'mega', 'abrazo', 'besot', 'quiero']","['contig', 'transmision', 'salud', 'hermos', 'quis', 'pod', 'vertw', 'dart', 'meg', 'abraz', 'besot', 'quier']","['contigo', 'transmisión', 'saludos', 'hermosa', 'quisiera', 'poder', 'vertw', 'darte', 'mega', 'abrazo', 'besote', 'quiero']"
las niñas tienen que llevar joyas para estar guapas.,1,las niñas tienen que llevar joyas para estar guapas,"['las', 'niñas', 'tienen', 'que', 'llevar', 'joyas', 'para', 'estar', 'guapas']","['niñas', 'llevar', 'joyas', 'guapas']","['niña', 'llevar', 'joya', 'guapa']","['niñ', 'llev', 'joy', 'guap']","['niñas', 'llevar', 'joyas', 'guapas']"
es neta lo de los tacos?,0,es neta lo de los tacos,"['es', 'neta', 'lo', 'de', 'los', 'tacos']","['neta', 'tacos']","['neta', 'taco']","['net', 'tac']","['neta', 'taco']"
"@ivonnems28 ¿crees? hahaha obvio si, todos toditos, de todas toditas las personas",0, ¿crees hahaha obvio si todos toditos de todas toditas las personas,"['crees', 'hahaha', 'obvio', 'si', 'todos', 'toditos', 'de', 'todas', 'toditas', 'las', 'personas']","['crees', 'hahaha', 'obvio', 'si', 'toditos', 'todas', 'toditas', 'personas']","['cree', 'hahaha', 'obvio', 'si', 'todito', 'toda', 'todita', 'persona']","['cre', 'hahah', 'obvi', 'si', 'todit', 'tod', 'todit', 'person']","['cree', 'hahaha', 'obvio', 'si', 'toditos', 'toda', 'toditas', 'persona']"
"@fxnoname @betwin__ eso no se le debe decir ni a tu peor enemigo, que cruel , nadie es peor que el caramusgo del torete ",1,  eso no se le debe decir ni a tu peor enemigo que cruel  nadie es peor que el caramusgo del torete ,"['eso', 'no', 'se', 'le', 'debe', 'decir', 'ni', 'a', 'tu', 'peor', 'enemigo', 'que', 'cruel', 'nadie', 'es', 'peor', 'que', 'el', 'caramusgo', 'del', 'torete']","['debe', 'decir', 'peor', 'enemigo', 'cruel', 'nadie', 'peor', 'caramusgo', 'torete']","['debe', 'decir', 'peor', 'enemigo', 'cruel', 'nadi', 'peor', 'caramusgo', 'toret']","['deb', 'dec', 'peor', 'enemig', 'cruel', 'nadi', 'peor', 'caramusg', 'toret']","['debe', 'decir', 'peor', 'enemigo', 'cruel', 'nadie', 'peor', 'caramusgo', 'torete']"
@elordenmundial @luisalisferrer @bbcworld ninguno obligatorio si tienes polla ,1,   ninguno obligatorio si tienes polla ,"['ninguno', 'obligatorio', 'si', 'tienes', 'polla']","['ninguno', 'obligatorio', 'si', 'polla']","['ninguno', 'obligatorio', 'si', 'polla']","['ningun', 'obligatori', 'si', 'poll']","['ninguno', 'obligatorio', 'si', 'polla']"
"@kikolo777 pero si tú sólo comes paellas-de-verdad, japo pijo yr a  cosas desas de subir a instagram, homrepordios ",1, pero si tú sólo comes paellasdeverdad japo pijo yr a  cosas desas de subir a instagram homrepordios ,"['pero', 'si', 'tú', 'sólo', 'comes', 'paellasdeverdad', 'japo', 'pijo', 'yr', 'a', 'cosas', 'desas', 'de', 'subir', 'a', 'instagram', 'homrepordios']","['si', 'sólo', 'comes', 'paellasdeverdad', 'japo', 'pijo', 'yr', 'cosas', 'desas', 'subir', 'instagram', 'homrepordios']","['si', 'sólo', 'come', 'paellasdeverdad', 'japo', 'pijo', 'yr', 'cosa', 'desa', 'subir', 'instagram', 'homrepordio']","['si', 'sol', 'com', 'paellasdeverd', 'jap', 'pij', 'yr', 'cos', 'des', 'sub', 'instagram', 'homrepordi']","['si', 'sólo', 'come', 'paellasdeverdad', 'japo', 'pijo', 'yr', 'cosas', 'desas', 'subir', 'instagram', 'homrepordios']"
"rivera y rajoy no han pactado que nivea vuelva a lanzar pelotas de playa desde una avioneta, como cuando era pequeño. nos vemos el 25d ",0,rivera y rajoy no han pactado que nivea vuelva a lanzar pelotas de playa desde una avioneta como cuando era pequeño nos vemos el d ,"['rivera', 'y', 'rajoy', 'no', 'han', 'pactado', 'que', 'nivea', 'vuelva', 'a', 'lanzar', 'pelotas', 'de', 'playa', 'desde', 'una', 'avioneta', 'como', 'cuando', 'era', 'pequeño', 'nos', 'vemos', 'el', 'd']","['rivera', 'rajoy', 'pactado', 'nivea', 'vuelva', 'lanzar', 'pelotas', 'playa', 'avioneta', 'pequeño', 'vemos', 'd']","['rivera', 'rajoy', 'pactado', 'nivea', 'vuelva', 'lanzar', 'pelota', 'playa', 'avioneta', 'pequeño', 'vemo', 'd']","['river', 'rajoy', 'pact', 'nive', 'vuelv', 'lanz', 'pelot', 'play', 'avionet', 'pequeñ', 'vem', 'd']","['rivera', 'rajoy', 'pactado', 'nivea', 'vuelva', 'lanzar', 'pelota', 'playa', 'avioneta', 'pequeño', 'vemos', 'd']"
@sammyriotmars cierto  qué bonico es darles otra vida a los libros,0, cierto  qué bonico es darles otra vida a los libros,"['cierto', 'qué', 'bonico', 'es', 'darles', 'otra', 'vida', 'a', 'los', 'libros']","['cierto', 'bonico', 'darles', 'vida', 'libros']","['cierto', 'bonico', 'darl', 'vida', 'libro']","['ciert', 'bonic', 'darl', 'vid', 'libr']","['cierto', 'bonico', 'darles', 'vida', 'libros']"
"@ikutram @tocamates @carmenagustin , y otros que seguro se me olvidan, también os puede interesar para vuestro instituto o facultad univ. ",0,    y otros que seguro se me olvidan también os puede interesar para vuestro instituto o facultad univ ,"['y', 'otros', 'que', 'seguro', 'se', 'me', 'olvidan', 'también', 'os', 'puede', 'interesar', 'para', 'vuestro', 'instituto', 'o', 'facultad', 'univ']","['seguro', 'olvidan', 'puede', 'interesar', 'instituto', 'facultad', 'univ']","['seguro', 'olvidan', 'pued', 'interesar', 'instituto', 'facultad', 'univ']","['segur', 'olvid', 'pued', 'interes', 'institut', 'facult', 'univ']","['seguro', 'olvidan', 'puede', 'interesar', 'instituto', 'facultad', 'univ']"
"@attmxayuda hola buenos días ya envié por dm la información que me pidieron, gracias",0, hola buenos días ya envié por dm la información que me pidieron gracias,"['hola', 'buenos', 'días', 'ya', 'envié', 'por', 'dm', 'la', 'información', 'que', 'me', 'pidieron', 'gracias']","['hola', 'buenos', 'días', 'envié', 'dm', 'información', 'pidieron', 'gracias']","['hola', 'bueno', 'día', 'envié', 'dm', 'información', 'pidieron', 'gracia']","['hol', 'buen', 'dias', 'envi', 'dm', 'inform', 'pid', 'graci']","['hola', 'buenos', 'días', 'envié', 'dm', 'información', 'pidieron', 'gracias']"
acabo de hacer algo muy triste jajaja la señora que limpia mi casa trapeo y yo baje y pise y no sabía que estaba trapeando y creo ensucie,0,acabo de hacer algo muy triste jajaja la señora que limpia mi casa trapeo y yo baje y pise y no sabía que estaba trapeando y creo ensucie,"['acabo', 'de', 'hacer', 'algo', 'muy', 'triste', 'jajaja', 'la', 'señora', 'que', 'limpia', 'mi', 'casa', 'trapeo', 'y', 'yo', 'baje', 'y', 'pise', 'y', 'no', 'sabía', 'que', 'estaba', 'trapeando', 'y', 'creo', 'ensucie']","['acabo', 'hacer', 'triste', 'jajaja', 'señora', 'limpia', 'casa', 'trapeo', 'baje', 'pise', 'sabía', 'trapeando', 'creo', 'ensucie']","['acabo', 'hacer', 'trist', 'jajaja', 'señora', 'limpia', 'casa', 'trapeo', 'baje', 'pise', 'sabía', 'trapeando', 'creo', 'ensuci']","['acab', 'hac', 'trist', 'jajaj', 'señor', 'limpi', 'cas', 'trape', 'baj', 'pis', 'sab', 'trap', 'cre', 'ensuci']","['acabo', 'hacer', 'triste', 'jajaja', 'señora', 'limpia', 'casa', 'trapeo', 'baje', 'pise', 'sabía', 'trapeando', 'creo', 'ensucie']"
que triste que guadalajara está igual de contaminado que mty,0,que triste que guadalajara está igual de contaminado que mty,"['que', 'triste', 'que', 'guadalajara', 'está', 'igual', 'de', 'contaminado', 'que', 'mty']","['triste', 'guadalajara', 'igual', 'contaminado', 'mty']","['trist', 'guadalajara', 'igual', 'contaminado', 'mti']","['trist', 'guadalaj', 'igual', 'contamin', 'mty']","['triste', 'guadalajara', 'igual', 'contaminado', 'mty']"
"a las mujeres no les gustan los chicos buenos, prefieren a los ‘malotes’",1,a las mujeres no les gustan los chicos buenos prefieren a los ‘malotes’,"['a', 'las', 'mujeres', 'no', 'les', 'gustan', 'los', 'chicos', 'buenos', 'prefieren', 'a', 'los', 'malotes']","['mujeres', 'gustan', 'chicos', 'buenos', 'prefieren', 'malotes']","['mujer', 'gustan', 'chico', 'bueno', 'prefieren', 'malot']","['mujer', 'gust', 'chic', 'buen', 'prefier', 'malot']","['mujeres', 'gustan', 'chico', 'buenos', 'prefieren', 'malotes']"
lo bueno: ya voy de regreso y nos podremos ver. lo malo: no me contesta los mensajes.,0,lo bueno ya voy de regreso y nos podremos ver lo malo no me contesta los mensajes,"['lo', 'bueno', 'ya', 'voy', 'de', 'regreso', 'y', 'nos', 'podremos', 'ver', 'lo', 'malo', 'no', 'me', 'contesta', 'los', 'mensajes']","['bueno', 'voy', 'regreso', 'podremos', 'ver', 'malo', 'contesta', 'mensajes']","['bueno', 'voy', 'regreso', 'podremo', 'ver', 'malo', 'contesta', 'mensaj']","['buen', 'voy', 'regres', 'podr', 'ver', 'mal', 'contest', 'mensaj']","['bueno', 'voy', 'regreso', 'podremos', 'ver', 'malo', 'contesta', 'mensajes']"
@imfebrer no me hagas daño  @xseth_army que cruel jajaja habría q verlo ^^,1, no me hagas daño   que cruel jajaja habría q verlo ,"['no', 'me', 'hagas', 'daño', 'que', 'cruel', 'jajaja', 'habría', 'q', 'verlo']","['hagas', 'daño', 'cruel', 'jajaja', 'q', 'verlo']","['haga', 'daño', 'cruel', 'jajaja', 'q', 'verlo']","['hag', 'dañ', 'cruel', 'jajaj', 'q', 'verl']","['hagas', 'daño', 'cruel', 'jajaja', 'q', 'verlo']"
mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,1,mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,"['mi', 'puto', 'novio', 'me', 'ignora', 'y', 'quiero', 'saber', 'si', 'hay', 'un', 'chino', 'cerca', 'de', 'la', 'biblioteca']","['puto', 'novio', 'ignora', 'quiero', 'saber', 'si', 'chino', 'cerca', 'biblioteca']","['puto', 'novio', 'ignora', 'quiero', 'saber', 'si', 'chino', 'cerca', 'biblioteca']","['put', 'novi', 'ignor', 'quier', 'sab', 'si', 'chin', 'cerc', 'bibliotec']","['puto', 'novio', 'ignora', 'quiero', 'saber', 'si', 'chino', 'cerca', 'biblioteca']"
así nunca te vas a echar un novio.,1,así nunca te vas a echar un novio,"['así', 'nunca', 'te', 'vas', 'a', 'echar', 'un', 'novio']","['así', 'nunca', 'vas', 'echar', 'novio']","['así', 'nunca', 'va', 'echar', 'novio']","['asi', 'nunc', 'vas', 'echar', 'novi']","['así', 'nunca', 'va', 'echar', 'novio']"
@polifack yo es que me asustó muy fácil con el rollo paranormal ,0, yo es que me asustó muy fácil con el rollo paranormal ,"['yo', 'es', 'que', 'me', 'asustó', 'muy', 'fácil', 'con', 'el', 'rollo', 'paranormal']","['asustó', 'fácil', 'rollo', 'paranormal']","['asustó', 'fácil', 'rollo', 'paranorm']","['asust', 'facil', 'roll', 'paranormal']","['asustó', 'fácil', 'rollo', 'paranormal']"
según uno de mis propósitos es leer más pero ya estamos a 8 de enero y no he comprado ni un libro nuevo,0,según uno de mis propósitos es leer más pero ya estamos a  de enero y no he comprado ni un libro nuevo,"['según', 'uno', 'de', 'mis', 'propósitos', 'es', 'leer', 'más', 'pero', 'ya', 'estamos', 'a', 'de', 'enero', 'y', 'no', 'he', 'comprado', 'ni', 'un', 'libro', 'nuevo']","['según', 'propósitos', 'leer', 'enero', 'comprado', 'libro', 'nuevo']","['según', 'propósito', 'leer', 'enero', 'comprado', 'libro', 'nuevo']","['segun', 'proposit', 'leer', 'ener', 'compr', 'libr', 'nuev']","['según', 'propósitos', 'leer', 'enero', 'comprado', 'libro', 'nuevo']"
@consuecaballer jajajajaja pues que se vuelva loco conmigo leches... llevo dias petándolo y nada... ,0, jajajajaja pues que se vuelva loco conmigo leches llevo dias petándolo y nada ,"['jajajajaja', 'pues', 'que', 'se', 'vuelva', 'loco', 'conmigo', 'leches', 'llevo', 'dias', 'petándolo', 'y', 'nada']","['jajajajaja', 'pues', 'vuelva', 'loco', 'conmigo', 'leches', 'llevo', 'dias', 'petándolo']","['jajajajaja', 'pue', 'vuelva', 'loco', 'conmigo', 'lech', 'llevo', 'dia', 'petándolo']","['jajajajaj', 'pues', 'vuelv', 'loc', 'conmig', 'lech', 'llev', 'dias', 'pet']","['jajajajaja', 'pues', 'vuelva', 'loco', 'conmigo', 'lech', 'llevo', 'dia', 'petándolo']"
a la mujer la tienes que juzgar al verla andar,1,a la mujer la tienes que juzgar al verla andar,"['a', 'la', 'mujer', 'la', 'tienes', 'que', 'juzgar', 'al', 'verla', 'andar']","['mujer', 'juzgar', 'verla', 'andar']","['mujer', 'juzgar', 'verla', 'andar']","['muj', 'juzg', 'verl', 'andar']","['mujer', 'juzgar', 'verla', 'andar']"
estoy nerviosa y tengo miedo,0,estoy nerviosa y tengo miedo,"['estoy', 'nerviosa', 'y', 'tengo', 'miedo']","['nerviosa', 'miedo']","['nerviosa', 'miedo']","['nervios', 'mied']","['nerviosa', 'miedo']"
@mariio97 2 asistencias me han faltado para el triple doble ,0,  asistencias me han faltado para el triple doble ,"['asistencias', 'me', 'han', 'faltado', 'para', 'el', 'triple', 'doble']","['asistencias', 'faltado', 'triple', 'doble']","['asistencia', 'faltado', 'tripl', 'dobl']","['asistent', 'falt', 'tripl', 'dobl']","['asistencias', 'faltado', 'triple', 'doble']"
"yo: estoy tan sola alguien: hola yo: fuchi, déjame en paz.",1,yo estoy tan sola alguien hola yo fuchi déjame en paz,"['yo', 'estoy', 'tan', 'sola', 'alguien', 'hola', 'yo', 'fuchi', 'déjame', 'en', 'paz']","['tan', 'sola', 'alguien', 'hola', 'fuchi', 'déjame', 'paz']","['tan', 'sola', 'alguien', 'hola', 'fuchi', 'déjame', 'paz']","['tan', 'sol', 'algui', 'hol', 'fuchi', 'dejam', 'paz']","['tan', 'sola', 'alguien', 'hola', 'fuchi', 'déjame', 'paz']"
@nonnes78 hola guapísima! nos encantaría hablar contigo por dm.. se puede pasar? ,1, hola guapísima nos encantaría hablar contigo por dm se puede pasar ,"['hola', 'guapísima', 'nos', 'encantaría', 'hablar', 'contigo', 'por', 'dm', 'se', 'puede', 'pasar']","['hola', 'guapísima', 'encantaría', 'hablar', 'contigo', 'dm', 'puede', 'pasar']","['hola', 'guapísima', 'encantaría', 'hablar', 'contigo', 'dm', 'pued', 'pasar']","['hol', 'guapisim', 'encant', 'habl', 'contig', 'dm', 'pued', 'pas']","['hola', 'guapísima', 'encantaría', 'hablar', 'contigo', 'dm', 'puede', 'pasar']"
"[— ¿nivel de inglés? — alto. — traduzca juguete. — toy. — úselo en una oración. — toy triste. — awww, vengache pa' acá. —]",1,— ¿nivel de inglés — alto — traduzca juguete — toy — úselo en una oración — toy triste — awww vengache pa acá —,"['nivel', 'de', 'inglés', 'alto', 'traduzca', 'juguete', 'toy', 'úselo', 'en', 'una', 'oración', 'toy', 'triste', 'awww', 'vengache', 'pa', 'acá']","['nivel', 'inglés', 'alto', 'traduzca', 'juguete', 'toy', 'úselo', 'oración', 'toy', 'triste', 'awww', 'vengache', 'pa', 'acá']","['nivel', 'inglé', 'alto', 'traduzca', 'juguet', 'toy', 'úselo', 'oración', 'toy', 'trist', 'awww', 'vengach', 'pa', 'acá']","['nivel', 'ingles', 'alto', 'traduzc', 'juguet', 'toy', 'usel', 'oracion', 'toy', 'trist', 'awww', 'vengach', 'pa', 'aca']","['nivel', 'inglés', 'alto', 'traduzca', 'juguete', 'toy', 'úselo', 'oración', 'toy', 'triste', 'awww', 'vengache', 'pa', 'acá']"
