Id,Texto,Sentimiento,Texto_preprocesado
1.1035907369042453e+34,Vivim amb esperança l'enfortiment del moviment feminista. Les dones no retrocedirem ni un milímetre assolit i exigim governs que donin resposta als greus problemes que patim. La igualtat és el motor de la llibertat i de la democràcia! #Parlament #LaEspañaQueQuieresEsFeministra https://t.co/HtubAjlCx9,Negativo,"['vivim', 'esperança', 'lenfortiment', 'moviment', 'feminista', 'dones', 'retrocedirem', 'milímetre', 'assolit', 'exigim', 'governs', 'donin', 'resposta', 'greus', 'problemes', 'patim', 'igualtat', 'motor', 'llibertat', 'democràcia']"
1.037301711260373e+33,"No comparteixo part del discurs polític de Xavier Domènech, però lamento la seva marxa de la política. Agradarà més o menys, però en els temps en què estem, la gent com ell que no predica l'odi, que va votar el 1O i que assisteix a manifestacions pels presos, són necessàries.",Negativo,"['comparteixo', 'part', 'discurs', 'polític', 'xavier', 'domènech', 'lamento', 'marxa', 'política', 'agradarà', 'menys', 'temp', 'gent', 'ell', 'predica', 'lodi', 'votar', 'assisteix', 'manifestacions', 'presos', 'necessàries']"
1.1041693184750264e+34,#vaga #8deMarç!! 💪🏽💪🏽💪💪🏿💪🏾💪🏽💪🏻👏🏻👏🏿👏🏽👏🏼👏🏼👏🏿👏🏻👏🏻a #Mataró  #8MCadaDia #EnsPlantem #8M2019⁠ ⁠⁠ ⁠⁠ ⁠⁠ ⁠ @ccoocatalunya @DonesCCOOCat  deixant constància de les reivindicacions de les dones. https://t.co/ClWD810Qka,Neutral,"['deixant', 'constància', 'reivindicacions', 'dones']"
1.1041520555628093e+34,"@m_otherhood Què va, gràcies a qui l'heu fet!! El vaig recomenar a altres dones, perquè és un tema del que no es parla (o no tant). No passa res per no voler ser mare, i cal dir-ho! També entenc q jo ho tinc fàcil pq visc a una ciutat gran... És un tema q dóna per molt, i n'hem de parlar més",Negativo,"['gràcies', 'lheu', 'fet', 'recomenar', 'dones', 'tema', 'parla', 'passa', 're', 'voler', 'mare', 'cal', 'dirho', 'entenc', 'q', 'fàcil', 'pq', 'visc', 'ciutat', 'gran', 'tema', 'q', 'dóna', 'nhem', 'parlar']"
1.040259194522362e+34,"A @lamira ens agrada canviar els punts de vista, així que vaig retratar al cap de fotografia, en @jordiborras. No menteix quan parla de pintar amb llum:sempre que capta els moments (o t'ajuda a captar-los), lluita amb ella fins que troba allò que buscava. Periodisme també és això https://t.co/e3OX87kc5C",Negativo,"['agrada', 'canviar', 'punt', 'vista', 'retratar', 'cap', 'fotografia', 'menteix', 'parla', 'pintar', 'llumsempre', 'capta', 'moment', 'tajuda', 'captarlos', 'lluita', 'ella', 'troba', 'buscava', 'periodisme']"
1.0921805665339146e+34,Una noia de 18 anys agredida sexualment per sis nois en una nau abandonada. Ahir a la nit.   I és tristament el nostre dia a dia.   Tota venjança queda curta.,Negativo,"['noia', 'anys', 'agredida', 'sexualment', 'si', 'nois', 'nau', 'abandonada', 'ahir', 'nit', 'tristament', 'dia', 'dia', 'venjança', 'queda', 'curta']"
1.0443481526970244e+18,"Dimecres passat vaig tenir la sort de passar minuts amb ell i abraçar-lo molt. I si, desborda tanta força positiva com sembla. En @jcuixart és únic. És referent. És futur. I el volem lliure #LlibertatPresosPolítics https://t.co/X4KBeF4tnF",Positivo,"['dimecres', 'passat', 'sort', 'passar', 'minuts', 'ell', 'abraçarlo', 'desborda', 'força', 'positiva', 'sembla', 'únic', 'referent', 'futur', 'volem', 'lliure']"
1.104168781348307e+33,"⏯@ManuelValls:  Avui vull donar suport a Montserrat Del Toro, una dona atacada de forma escandalosa per ser un testimoni. Insults, amenaces, insults sexistes... Això en nom de la igualtat, justicia i democràcia no ho podem acceptar . #Barcelona #BCN #VallsBCN2019 https://t.co/ymWvQ21S82",Negativo,"['avui', 'vull', 'donar', 'suport', 'montserrat', 'toro', 'dona', 'atacada', 'forma', 'escandalosa', 'testimoni', 'insult', 'amenaces', 'insult', 'sexistes', 'nom', 'igualtat', 'justicia', 'democràcia', 'acceptar']"
1.1039698613598454e+34,"Reconèixer que un determinat comportament és violència masclista, assumir-ne la responsabilitat i buscar ajuda. És el que fan més de 250 homes que assisteixen voluntàriament al Servei d'Atenció a Homes de l'Ajuntament de Barcelona #8M https://t.co/lvRK5FlrqY",Neutral,"['reconèixer', 'determinat', 'comportament', 'violència', 'masclista', 'assumirne', 'responsabilitat', 'buscar', 'ajuda', 'home', 'assisteixen', 'voluntàriament', 'servei', 'datenció', 'home', 'lajuntament', 'barcelona']"
1.044955801675346e+18,"Només cal romandre amorosament i orgànicament lligat al poble. Acostumar-se a obtenir la força política mitjançant el voler del poble, de les dones i homes de carn i os, de la seva feina i de les seves il·lusions, dels seus barris i comarques, de les seves cooperatives, entitats,",Positivo,"['cal', 'romandre', 'amorosament', 'orgànicament', 'lligat', 'poble', 'acostumarse', 'obtenir', 'força', 'política', 'mitjançant', 'voler', 'poble', 'dones', 'home', 'carn', 'o', 'feina', 'il', 'lusions', 'barris', 'comarques', 'cooperative', 'entitats']"
1.0362022578581422e+34,"Amb llaç groc o sense ell ens uneix la lluita contra les retallades, per la defensa de les pensions, Sanitat i l'Educació #QueNoEnsEnfrontin https://t.co/tBty73J07h",Negativo,"['llaç', 'groc', 'ell', 'uneix', 'lluita', 'retallades', 'defensa', 'pension', 'sanitat', 'leducació']"
1.098935720910168e+33,"@naciodigital @InesArrimadas @KRLS Senyora Arrimadas, té vostè molta sort de viure a Catalunya. Si visqués a la seva terra seria la reina de la  chirigota .",Negativo,"['senyora', 'arrimadas', 'té', 'vostè', 'sort', 'viure', 'catalunya', 'visqués', 'terra', 'seria', 'reina', 'chirigota']"
1.0460807777069835e+34,RT @estelada: Arrimadas dona suport a Jusapol i lamenta que «intolerants separatistes» vulguin impedir que es manifestin https://t.co/hGSne…,Negativo,"['arrimadas', 'dona', 'suport', 'jusapol', 'lamenta', 'intolerants', 'separatistes', 'vulguin', 'impedir', 'manifestin']"
1.1025902006671647e+34,🔴🎥 @salvadorilla:Com a socialistes i feministes donem el nostre suport i ens sumem a la vaga feminista del divendres #8març. Posem de manifest les mesures que ha adoptat el govern de @sanchezcastejon en favor de les dones. Serem presents a la manifestació del #8M. https://t.co/41uuAE4LKU,Negativo,"['socialistes', 'feministes', 'donem', 'suport', 'sumem', 'vaga', 'feminista', 'divendres', 'posem', 'manifest', 'mesures', 'adoptat', 'govern', 'favor', 'dones', 'serem', 'present', 'manifestació']"
1.0979565171674847e+34,"@ccampdepadros @jaumecollboni @TMB_Barcelona @rodalies @sindicabcn @AdaColau Home @ccampdepadros, igual que tu que vas ser Conseller Socialista a Sarrià, deixa ja de ser cínic Carles....i no emprenyis....",Negativo,"['home', 'tu', 'conseller', 'socialista', 'sarrià', 'deixa', 'cínic', 'carlesi', 'emprenyis']"
1.0388666469731983e+18,"Aquest imbècil diu que en la Diada res de manifestar-se per la independència, que ens hem de manifestar pels presos que així vividors com ell poden estar uns anyets més cobrant https://t.co/z9DeyF7I7n",Positivo,"['imbècil', 'diu', 'diada', 're', 'manifestarse', 'independència', 'manifestar', 'presos', 'vividors', 'ell', 'estar', 'anyets', 'cobrant']"
1.0921582829098433e+34,"Estimo el meu avi , el tuit d'una neta de Granollers que es fa viral https://t.co/trXBf4Rsg4 #Play324 https://t.co/9lzoeaX2P5",Neutral,"['estimo', 'avi', 'tuit', 'duna', 'neta', 'granollers', 'viral']"
1.042636348870615e+18,"Cent vuitanta-un, tres-cents quaranta-un i, senyors, altres tres-cents vint-i-dos nits i dies de turments.  #garrotuit #LlibertatPresosPolíticsCatalans #LlibertatPresesPolítiquesCatalanes",Positivo,"['cent', 'vuitantaun', 'trescents', 'quarantaun', 'senyors', 'trescents', 'vintidos', 'nit', 'dy', 'turments']"
1.10343074147883e+34,"Francesc Canosa, sobre el llibre  Dones que surten del paper : “És una microhistòria de Catalunya a través de les peces periodístiques de les dones” 📺 https://t.co/385AnjJpX5 #Més324 #JudiciTV3CatRàdio https://t.co/lw805Rx1iE",Neutral,"['francesc', 'canosa', 'llibre', 'dones', 'surten', 'paper', 'microhistòria', 'catalunya', 'través', 'peces', 'periodístiques', 'dones']"
1.102858659107885e+33,"Aquest #8deMarç ha de ser un esclat de mobilització a les empreses i al conjunt de la societat per dir PROU a les bretxes, a les violències masclistes i a les desigualtats que patim les dones. #EnsPlantem #8MCadaDia https://t.co/bWIgkPMCEq",Negativo,"['esclat', 'mobilització', 'empreses', 'conjunt', 'societat', 'dir', 'prou', 'bretxes', 'violències', 'masclistes', 'desigualtats', 'patim', 'dones']"
1.0961376496713235e+34,"El 2018 a Catalunya, l'abandonament educatiu dels joves entre 18 i 24 anys és del 17%. Aquesta taxa és el doble entre els joves estrangers i els fills de famílies amb pocs estudis. Com avançar cap a una educació postobligatòria per a tothom? #PerQueApostem",Negativo,"['catalunya', 'labandonament', 'educatiu', 'jove', 'anys', 'taxon', 'doble', 'jove', 'estrangers', 'fill', 'famílies', 'estudis', 'avançar', 'cap', 'educació', 'postobligatòria', 'tothom']"
1.1036049692177776e+34,És una de les cançons que més m'ha agradat recuperar últimament... llàstima que aquesta dona no tingués una mica més d'influència sobre el seu marit president (assumint que hi ha qui considera que aquest és un comentari anti-feminista). https://t.co/1bIE01HWSZ,Negativo,"['cançons', 'mha', 'agradat', 'recuperar', 'últimament', 'llàstima', 'dona', 'tingués', 'mica', 'dinfluència', 'marit', 'president', 'assumint', 'considera', 'comentari', 'antifeminista']"
1.093115676095664e+33,"🖐️ Programa doble de #dansa al #CCBarceloneta: Black Mind + Memorias de mis manos: la de Fre3 Bodies, que treu el costat fosc i irracional de l’ésser humà, i la de Rosalía Zanón, una exploració de música i dansa entre pare i filla 👉 https://t.co/SgeMUK697k https://t.co/tYGNTQh0Hw",Neutral,"['programa', 'doble', 'black', 'mind', 'memorias', 'mi', 'manos', 'fre', 'body', 'treu', 'costat', 'fosc', 'irracional', 'l', 'ésser', 'humà', 'rosalía', 'zanón', 'exploració', 'música', 'dansa', 'pare', 'filla']"
1.098993319798104e+33,Neuròlegs de Vall d'Hebron eviten que una nena desenvolupi atròfia muscular espinal https://t.co/IPA2i0aQRW https://t.co/u8Nbs9jJwF,Neutral,"['neuròlegs', 'vall', 'dhebron', 'eviten', 'nena', 'desenvolupi', 'atròfia', 'muscular', 'espinal']"
1.1034539617118044e+34,Els Mossos detenen a Barcelona un home que hauria intentat ferir amb un ganivet diversos agents https://t.co/vk5T7yDKWc,Neutral,"['mossos', 'detenen', 'barcelona', 'home', 'hauria', 'intentat', 'ferir', 'ganivet', 'diversos', 'agent']"
1.0435974055921376e+18,RT @imba80: Amb gent com aquest home i la voluntat d'un poble farem realitat la república #AcampemaStJaume #FAQSforojuecesTV3,Positivo,"['gent', 'home', 'voluntat', 'dun', 'poble', 'farem', 'realitat', 'república']"
1.102624549672284e+18,"@fgarrobo @partit_pirata Ets unionista i t'he vist personalment a plaça Catalunya el 15M boicotar parlar en català i propostes per avançar cap a la independència. No ets de fiar, noi.",Positivo,"['unionista', 'the', 'vist', 'personalment', 'plaça', 'catalunya', 'm', 'boicotar', 'parlar', 'català', 'propostes', 'avançar', 'cap', 'independència', 'fiar', 'noi']"
1.0446486693693112e+18,"1. Voleu veure a Plaça Sant Jaume la Jusapol? Deixarem que retrin homenatge a qui ens van maltractar, els nostres àvis,  pares, fills?   #OmplimSantJaume29s i carrers adjacents. Jo hi seré i tú?        https://t.co/2H8ERmCrkY",Positivo,"['voleu', 'veure', 'plaça', 'sant', 'jaume', 'jusapol', 'deixarem', 'retrin', 'homenatge', 'maltractar', 'àvis', 'pares', 'fill', 'carrers', 'adjacents', 'seré', 'tú']"
1.0434638066036817e+34,Recordatori diari que Carles Puigdemont és aquell senyor que en lloc de convocar eleccions va  declarar  la independència (una opció que fins i tot ell sabia que no tenia ni solta ni volta) perquè li estaven dient coses lletges pel Twitter.,Negativo,"['recordatori', 'diari', 'carles', 'puigdemont', 'senyor', 'lloc', 'convocar', 'eleccions', 'declarar', 'independència', 'opció', 'ell', 'sabia', 'tenia', 'solta', 'volta', 'dient', 'cos', 'lletges', 'twitter']"
1.1034592174224056e+18,RT @miquelstrubell: Quan t'adones que portes un any i mig a la presó per culpa d'una senyora que delira. #JudiciTV3CatRàdio https://t.co/le…,Positivo,"['tadones', 'porte', 'any', 'mig', 'presó', 'culpa', 'duna', 'senyora', 'delira']"
1.097416634980012e+33,"@anna_sjd És tremendo. Lo normal seria que la gent pirés si aquest senyor estigués a llocs mitjanament importants. Si està davant de tot, ja és per denunciar-ho directament, com has fet tu.",Negativo,"['tremendo', 'lo', 'normal', 'seria', 'gent', 'pirés', 'senyor', 'estigués', 'llocs', 'mitjanament', 'importants', 'davant', 'denunciarho', 'directament', 'fet', 'tu']"
1.0976123533052312e+18,"Et refereixes a Vox, potser ? Doncs mira, Ortega smith farà una conferència al Parlament Europeu amb permís del senyor Tajani, si, aquest  #TajaniPuppetOfFascism https://t.co/lcAe7F4siO",Positivo,"['refereixes', 'vox', 'mira', 'ortega', 'smith', 'farà', 'conferència', 'parlament', 'europeu', 'permís', 'senyor', 'tajani']"
1.0383755311867249e+34,"Li volen treure el nom d'un carrer a @JosepBorrellF al seu poble.  A Terrassa cremen la foto d'un alcalde del @socialistes_cat . Anem bé noies i nois.  El camp de concentració, on el posareu? I de quin color sera  estrella  que lluirem els qui no pensem com vosaltres?  #llibertat",Negativo,"['volen', 'treure', 'nom', 'dun', 'carrer', 'poble', 'terrassa', 'cremen', 'foto', 'dun', 'alcalde', 'anem', 'noies', 'nois', 'camp', 'concentració', 'posareu', 'color', 'serum', 'estrella', 'lluirem', 'pensem']"
1.0959791143207936e+18,RT @MonDiari: EN DIRECTE | Marchena dona permís als presos per asseure's al costat dels seus advocats https://t.co/MsncjKeqjV,Positivo,"['directe', 'marchena', 'dona', 'permís', 'presos', 'asseures', 'costat', 'advocats']"
1.0988989457979514e+18,"Hola ⁦@InesArrimadas⁩ Veig que ja ho tens tot a punt pel viatge, a punt per un altre ridícul! No canviïs mai, amb tu cada dia som més ! Més trempada, ella .... #JudiciFarsa #LlibertatPresosiPresesPolitiques #ForaFeixistesDelsNostresBarris #JudiciALaDemocràcia 💪✊🎗 https://t.co/xtAtZzGDbd",Positivo,"['hola', 'veig', 'ten', 'punt', 'viatge', 'punt', 'ridícul', 'canviïs', 'mai', 'tu', 'dia', 'trempada', 'ella']"
1.039773438557266e+34,"Fa 17 hores que aquesta senyora va publicar aquest bulo (ja porta més de 6 mil likes), i ni ha rectificat ni l'ha esborrat. Potser la realitat no li agrada ni li convé? https://t.co/9WYQJlhyt9",Negativo,"['hores', 'senyora', 'publicar', 'bulo', 'porta', 'mil', 'like', 'rectificat', 'lha', 'esborrat', 'realitat', 'agrada', 'convé']"
1.0932014135917158e+34,Es pot afirmar ja amb rotunditat que l’Esglèsia Catòlica ha estat la maquinària d’abús infantil organitzat més brutal de tota la història de la humanitat. El meu pare també en fou testimoni de petit a l’escola Valldemia dels Maristes de Mataró. La de la cançó de La Trinca.,Negativo,"['pot', 'afirmar', 'rotunditat', 'l', 'esglèsia', 'catòlica', 'maquinària', 'd', 'abús', 'infantil', 'organitzat', 'brutal', 'història', 'humanitat', 'pare', 'fou', 'testimoni', 'petit', 'l', 'escola', 'valldemia', 'maristes', 'mataró', 'cançó', 'trinca']"
1.0979812588928244e+18,"Si hi ha una persona que es creu això de la #Unitat i la #independència és ell, sense dubte   Gràcies Conseller @jorditurull   Enyorar-te és poc 💛 https://t.co/EYoXyD7PSp",Positivo,"['persona', 'creu', 'ell', 'dubte', 'gràcies', 'conseller', 'enyorarte']"
1.103913407483306e+33,Una tertuliana diu a Catalunya Ràdio que ella “no sap res de dret processal però sí de sentit comú”. I així tot als voltants de l’independentisme.,Negativo,"['tertuliana', 'diu', 'catalunya', 'ràdio', 'ella', 're', 'dret', 'processal', 'sí', 'sentit', 'comú', 'voltants', 'l', 'independentisme']"
1.0361747635872603e+34,"Amb llaç groc o sense ell ens uneix la lluita contra les retallades, per la defensa de les pensions, per la Sanitat i l'Educació Pública #QueNoEnsEnfrontin Per la Unitat del Poble Treballador #FelizDomingo https://t.co/z62Lkn29SK",Negativo,"['llaç', 'groc', 'ell', 'uneix', 'lluita', 'retallades', 'defensa', 'pension', 'sanitat', 'leducació', 'pública', 'unitat', 'poble', 'treballador']"
1.1039258208993773e+34,La primera dona que va pilotar un avió de combat als Estats Units revela que el seu supervisor a l’exèrcit la va violar https://t.co/yCB8PqKL8c,Neutral,"['primera', 'dona', 'pilotar', 'avió', 'combat', 'estats', 'unit', 'revela', 'supervisor', 'l', 'exèrcit', 'violar']"
1.103394188127859e+34,"@albaverges @erc_catcentral @caroltelechea @ERC_dones @monicamorros @ERC_IGUALADA @ERCAnoia @jmangues @enricconill @DavidPrat I a nosaltres qui ens defensa? Qui defensa a una part del poble que si no te casa no es lliure. Si ets pobre, no ets lliure. Si ets avi o avia amb probresa energetica no ets lliures. Si els infants i les seves families no poden pagar el lloguer, no ets lliure. La Generalitat NO¡¡",Negativo,"['defensa', 'defensa', 'part', 'poble', 'casa', 'lliure', 'pobre', 'lliure', 'avi', 'avia', 'probresa', 'energetica', 'lliures', 'infant', 'family', 'pagar', 'lloguer', 'lliure', 'generalitat']"
1.1029804250713783e+34,"@EnricMillo El Senyor Millo es ... un Senyor. El MHP Torra es mes aviat un  hooligan , i no raona les coses, sino que diu un munt de ximpleries. Que aquest MHP sigui Català per a mi, com a Català, es una vergonya!",Negativo,"['senyor', 'millo', 'senyor', 'mhp', 'torra', 'me', 'aviat', 'hooligan', 'raona', 'cos', 'sino', 'diu', 'munt', 'ximpleries', 'mhp', 'sigui', 'català', 'mi', 'català', 'vergonya']"
1.0994539197370571e+34,"AGRAÏM a @Gilles_Simeoni Pres dl Consell Executiu d Còrsega, ls seves paraules:  VULL expressar la nostra solidaritat sense reserves amb ls dones i homes q són jutjats... Si ho acceptem sense dir res, renunciem a tot el q constitueix la democràcia  MERCI BEUCOUP d votre soutien🌹 https://t.co/Xw3QIIdRwa",Negativo,"['agraïm', 'pres', 'dl', 'consell', 'executiu', 'd', 'còrsega', 'l', 'paraules', 'vull', 'expressar', 'solidaritat', 'reserve', 'l', 'dones', 'home', 'q', 'jutjats', 'acceptem', 'dir', 're', 'renunciem', 'q', 'constitueix', 'democràcia', 'merci', 'beucoup', 'd', 'votre', 'soutien']"
1.1102810233786777e+34,"🗣️ @jaumecollboni  Sortim a guanyar #Barcelona. La candidatura del @pscbarcelona està pensada per governar i guanyar les eleccions, comptant amb una transversalitat d'homes i dones amb experiència   + info 👉 https://t.co/IDnt53aU4j https://t.co/OqVDJPuW6Q",Negativo,"['sortim', 'guanyar', 'candidatura', 'pensada', 'governar', 'guanyar', 'eleccions', 'comptant', 'transversalitat', 'dhomes', 'dones', 'experiència', 'info']"
1.0988296881542717e+34,"@Anuar2801 @JoanTarda @I_CSC @begonavillacis Mare meva com estàs del cap, sonat és poc. El mínim que havia de fer Tardà amb tu és pagar-te el psicòleg. Però de la seva butxaca!",Negativo,"['mare', 'estàs', 'cap', 'sonat', 'mínim', 'tardà', 'tu', 'pagarte', 'psicòleg', 'butxaca']"
1.0976068846752564e+18,RT @auroramayor62: Europa es una decepció pels que creiem en ella i el seu president #TajaniPuppetOfFascism https://t.co/OnNwUn28LA,Positivo,"['europa', 'decepció', 'creiem', 'ella', 'president']"
