Texto_preprocesado,Sentimiento
LEstaca a Sant Jaume Gallina de piel     ,Positivo
Sento nervis a la panxa la fantasia  de 8 mesos avui serà real Les  senceten avui espero que tothom les gaudeixi I que serveixin per nodrir de contingut feminista i LGBTI el discurs dalliberament nacional actual Gràcies  i   ,Negativo
¿Des de quan la facultat dinterrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova El feixisme togat espanyol innovant una vegada més el Dret  ,Positivo
Virginia Alguacil Mata  casada 1 Fill  61 anys  professió  Parada el 1O vaig estar Desde las 6 del matí a las portes del Casal davis defensant las Urnes  Plovia i molt  Hi havia molte gent com jo  I a las 11 del Matí vaig Votar  1 sol cop   ,Positivo
 quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem cony q des q vaig néixer han pretès q demanes Perdó per ser catalana catalanista i separatista,Neutral
  “Les dones sempre han estat part important dels meus equips polítics i de govern Quan vaig presentar la meva candidatura ja vaig dir que seria llista paritària”        ,Negativo
Els sous baixos la temporalitat la precarietat es pateixen a Madrid ia Barcelona El que necessitem és unitat per  al servei de la majoria   ,Negativo
Els murs humans al llarg de la història s’han convertit en una icona universal de la defensa dels drets i les llibertats Som un mur humà sí Som el puto mur humà que molts que avui volen tombar trobaran a faltar el dia que el feixisme els entri a casa,Positivo
RT  Tarda de teatre a 1r de Primària amb  Els Tres Porquets  ,Negativo
Aquí podeu veure en Jaume Asens i lIglesias comparant Albert Rivera amb Eichmann per cert que algú els expliqui com es pronuncia aquest cognom  Tot en ordre ,Negativo
   Quan Turull demanava presó per a uns nanos per lassalt al Parlament Qui era el represor,Negativo
  i  a què espereu per signar els convenis que marca la llei 242015 per tal de fer front a la  ,Negativo
Preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos Blanca Puig catalana i calenta    ,Negativo
 Saps Pilar Crec que és la diada que vaig amb més ganes i més emocionat Pel record dels nostres presoses i exiliatsdes i per totses aquellses que van patir la violència de l 1O  ,Negativo
   Menteixes aixó de Vox es fals i NO HO DIC PAS JO ,Negativo
El pregonero de las fiestas de Cerdanyola llama “prostituta” a Inés Arrimadas  vía ,Negativo
RT  Tossudament alçats Camí cap a la República      ,Positivo
Una desena de joves del col·lectiu Universitats per la República mostra cartells que reclamen la llibertat dels presos independentistes durant un discurs del president del Tribunal Constitucional  ,Neutral
   Això era pel REGLAMENT aprovat el juliol del 2017 Després el 6 i 7 de setembre no van aplicar lesmentat reglament Per favor no retallis un titular si no coneixes la notícia sencera,Negativo
  Segurament hi havia gent vinguda fins i tot de França ,Negativo
El nostre més sentit condol a lalcaldessa  per la mort del seu marit Tot el nostre suport i escalf en aquests moments difícils,Negativo
Hem descoltar i compartir el que ens arriba des de  Ens queixem que nos ens escolten a ells tampoc   ,Neutral
Realment ens hem plantejat si volem de veritart la Independència  Potser és més bonic anar a un espai el que tots pensem igual i cridar independència i que no vingui ningú a fernos fóra  Hem destar disposats a fer tots el sacrificis necessaris per assolir el nostre objectiu ,Positivo
  a les portes del Suprem  El Parlament Europeu ha destar molt pendent del que passi avui perquè sap que en la persona de Raül Romeva shi juga molt  ,Positivo
CUPvERCgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin lestafa del procés Per contra cada vegada que  ataca el rei els espanyols es fan més monàrquics Processisme i monarquia es necessiten mútuament ,Negativo
 O comencem a tenir clar que la única solució és votar massivament la  o no en sortirem,Positivo
 Un espectacle brutal Dos PERSONATGES en majúscules oferint tot el que duen dins   Brillant guió i millor representació   Primeres reaccions  de  després del seu pas per  Divendres ja comencem funcions ,Neutral
RT  Només pels somriures que la tiparraca de la Toro aquesta ha provocat als presos ha valgut la pena,Neutral
Amb lexhumació de Franco es trenca un tabú imposat a la transició la intocabilitat del franquisme Convindria no quedarse aquí i trencarne molts daltres com lexclusió del dret a pronunciarse sobre la república o lautodeterminació,Positivo
Conclusions dels 6 observadors internacionals que van assistir a les tres primeres sessions del judici del procés  ,Positivo
Iniciem tertúlia política a  amb  debatint sobre el futur del  amb    i  ,Positivo
JLluís Espinós Hem conclòs que no hi pot haver uns grups de formació dual i uns de general sinó que cal una sola estructura que permeti totes 2 formacions Per ex treballar més per projectes amb més hores i per treball més competencial ,Negativo
Ran i en Kogoro son els millors ,Neutral
 Avui s’ha aprovat al  un prec que hem presentat demanant que el govern impulsi campanyes de foment de l’esport femení de base i en contra les desigualtats de gènere a l’esport Proposta que vam extreure de la campanya a l’Esport hi som totes Gràcies  ,Positivo
RT  Realment els independentistes van ser violents Policies contra l’evidència ,Positivo
‍ Avui com no podria ser daltra manera ens sumem al   Aquest 19 de febrer i cada dia diem NO a la  al futbol i al món de lesport en general ,Neutral
El que cal es fer pinya entre els indepes  no fer volar coloms sobre que Colau Coscu i Rabell es facin indepes  cosa que no pasara mai  per justificar fer un tripartit autonomic,Positivo
No seriosament quan crearà algú unes brigades mata feixistes,Positivo
José Antonio Nieto exsecretari dEstat de Seguretat  Vam pensar que hi havia una organització perquè es fessin crides a  concentrarse on hi havia els escorcolls de la Guàrdia Civil     ,Neutral
No ni jo ni el meu pare  hem escrit el famós missatge a Jordi Sánchez NO rotundament NO  ,Positivo
   Quina mania de parlar sempre de dignitat Un xic més de sentit comú i pragmatisme i ens hauríem estalviat tot aquest patiment,Negativo
RT  Veig tothom molt amoïnat amb un nou 155 Sabeu com no te l poden aplicar Sent INDEPENDENTS Algú se n recorda d aquesta p…,Positivo
RT   Quanta més repressió més indepes o més determinats Ni ho entenen ni ho entendran mai pq es comporten com a col…,Positivo
       i jo vull que desapareguin lescòria de vox,Negativo
Millo acusa els CDR de violents Els criminalitza i posa el relat per a que se’ns persegueixi penalment,Negativo
El general en cap de la Guàrdia Civil a Catalunya durant l1 doctubre Ángel Gozalo diu que  quan es parla de defensarem les urnes sota el meu punt de vista ‘defensar’ és un llenguatge prebèl·lic   ,Neutral
Aquest article és un espectacle Això no és fer un gir de 180° això és fer la Via Làctia de punta a punta de la primera a lúltima frase ,Negativo
   Si tot sha de fer per la independència i ja no podem ni celebrar coses que van marcar social i culturalment la ciutat perquè la gent de la capital no les entén o només li importa anar a cremar coses pues apaga i vamonos saps,Positivo
 No em cansaré de repetirho és MALVAT MONSTRUÓS equiparar els errors polítics evidents d’uns els indepes i els errors en forma de violència presó i repressió dels altres Monstruós No compreu aquest marc sisplau,Neutral
 No parla de carreges El responsable de tot aixo va ser el ,Negativo
   No veig que tergiverssi res Veig que no ets capaç dentendre els que no estem dacord amb com ho veus,Negativo
10è Aniversari ja del Programa INPA a  Com passa el temps com han millorat les xifres i quan falta encara per millorar més Felicitats a  i tot lEquip de la UMI ,Neutral
 hola Paula voldria posarme en contacte amb tu Podries indicarme alguna direcció demail o bé seguirme un segon perquè pugui ferho per DM  Moltes gràcies,Neutral
Arribem al punt que  i la  ens volen introduir al nostre marc mental que el diàleg i un referèndum pactat són la solució Això és renunciar a els últims 6 anys de manifestacions al 1dOctubre i totes les hòsties rebudes És tornar al 2012 i fer de PSC,Positivo
  Clar amb els “vitores” de la gent que  l’aclamava,Negativo
A bona part de Catalunya no hi plovia des de l1 de febrer 32 dies sense pluja A  es van recollir 02 mm el 29 de gener i avui és el 37è dia sense pluja apreciable  ,Negativo
     Ahir era un dia per acabar amb aquesta dèria Però heu preferit provincialisme carca,Negativo
  Dixi de publicar twits Millo Qualsevol que vegi el vídeo sencer sadonarà de la classe de  persona  que és vostèPer cert li recordo que el seu partit té quatre diputats a Catalunya un alcalde dels 947 als municipis i a més a més está en vies de desaparèixer,Negativo
Ets molt millor que en Maquiavelo noi  el putu amo de la estrategia   I com es que no els heu alliberat aquest mesos passats ,Negativo
Com es fa perquè no em surti la Talegón al timeline,Negativo
RT  El MHP Carles Puigdemont farà un acte el dia 13 de febrer a la Universitat de Groningen als Països Baixos  ,Positivo
Santi Vila la DUI va ser un fake simbòlic sense trascendencia Processistes  Traidor Rata Botifler Venut  Turull la DUI va ser un fake simbòlic sense trascendencia Processistes Exemple de dignitat Heroi Polític de la gent ,Negativo
RT    Allà hi serem per mantenir el diàleg encara que sigui molt difícil ,Negativo
Airbus deixarà de fabricar l’A380 el 2021 després que el seu principal client l’aerolínia Emirates ha cancel·lat part de les comandes d’aquest model  ,Neutral
   Cal recordar que  tot i parlar i actuar com un subnormal no ho és tant Li deuen més de 100K€ que li pagaran en forma de càrrec  Com tot el que forma part del procés una farsa,Negativo
RT  En directe Expectació per la conferència dels presidents Puigdemont i Torra a Brussel·les via  ,Positivo
Autodeterminació Drets socials civils i polítics Llibertat preses polítiques  Retorn exiliades  Dissabte 17h  Manifestació imprescindible a Barcelona ,Positivo
Abdul Aziz Muhamat refugiat sudanès confinat en un centre de reclusió guanya el prestigiós premi internacional de    ,Negativo
Els fills ideològics del coronel Galindo  Si no fas allò que et diuen tenterren en calç viva o et torturen a Intxaurrondo ,Neutral
 Quan tens com tú el cove plé potser sI  Pero aleshores no et dediquis a la política dedicat a ser empresaria explotadorao algo així,Negativo
 El conseller dExteriors Alfred Bosch compareix després de la declaració de Raül Romeva  Hem vist un home de pau    ,Neutral
Això és una notícia de juny de 2012 Aquesta era la gran UNITAT que hi  havia entre la inmensa majoría dels catalans lluitant junts contra les  retallades contra el PP i Artur Mas Ja n’hi ha prou   Unimnos ⁦⁩,Negativo
Sha darribar a la independència com sigui Espero que el camí que han triat govern presos io exiliats hi condueixi tot i que no sigui el que crec amb lexperiència el més convenient El primer principi de tot revolucionari és adaptarse a la realitat per a canviarla,Positivo
RT  Boye ha respost amb un ‘gràcies degà’ ben irònic ,Negativo
Brutal  Milers de persones omplen la plaça de lajuntament de dignitat i coratge en defensa de la democràcia i per la   ,Positivo
Des dEspanya ens amenacen amb un nou 155 Els sindicats dels règim del 78 van estar callats durant aquells mesos recordeu  Ens cal un sindicalisme país Només conquerint tots els espais de poder serem forts i podrem fer front a la repressió    ,Positivo
Sánchez no descarta pactes postelectorals després del 28A a excepció de Vox ,Neutral
Benoît Hamon excandidat dels socialistes francesos veu el judici del procés com una  regressió    ,Positivo
 El company Willy Toledo en llibertat provisional després de no declarar davant el jutge  Solidaritat força lluita    independència     ,Positivo
Alejandro Fernández ha criticat aquest dissabte que la líder de  a  Inés  aneu a  Bèlgica perquè  cau en una retòrica populista que és caure en el joc  de lexpresident de la Generalitat Carles   ,Neutral
 Si això és una entrevista periodística el periodisme està fotut doncs,Negativo
En  sobre el deure dels polítics de “conduir les emocions racionalitzar les situacions i trobarhi sortida” Clau Descriu a més el posicionament actuals de les dues principals forces independentistes  ,Positivo
A  estem buscant un periodista amb experiència en làmbit de la comunicació política per a un nou projecte periodístic Interessats o interessades CV a miquelpellicertc Gràcies ,Neutral
No sé si votar a Junqueras Miquel Roca o Echenique   Feu el favor de fer una LLISTA UNITÀRIA I TRANSVERSAL AMB LOBJECTIU DE LA REPÚBLICA CATALANA VOTADA PEL POBLE X  VISCA LA REPÚBLICA CATALANA,Positivo
També visitaran el Parlament de Flandes on es reuniran amb el president de la cambra Jan Peumans Puigdemont i Torra fan avui la conferència conjunta a Brussel·les malgrat la censura de Tajani ,Positivo
Franco va necessitar anys i tot un exèrcit per tancar la Generalitat jutjarne el govern i prohibir el català Ara gràcies al processisme no els cal cap exèrcit amb un jutge i un funcionari del 155 enviat des de Madrid nhi ha prou El  és submissió ,Negativo
RT  Marchena li demana al Fiscal que pregunti concretament,Negativo
Haventhi alternatives com lEFTA no sé perquè hauríem de voler formar part daquesta UE podrida  ets un titella del feixisme  Firmem per demanar lingrés a lEFTA ,Positivo
Trescents vintinou i cent vuitantavuit i trescents quarantavuit i es pretén que aguantem els violents    ,Positivo
Es compleixen 80 anys de la mort dAntonio Machado ,Neutral
 Però accepten a Vox mira quina Europa tant maca   ,Positivo
  A LA  a   BIBLIOTECA Visualitzala a partir de les 18h del diumenge 03 de març de 2019 conferència realitzada a TÀRREGA el 28 de febrer de 19h a 21h      ,Positivo
Aquests dies he pensat molt en les discussions amb  i  i mha sortit això un elogi de lempatia davant dels tecnòcrates els racionals i els que provoquen un 155 emocional  Jordi Graupera i els robots  ,Positivo
  ara de debò us fa gràcia el de la galleda de merda crec que jair et pressiona molt el llaç el cervell ,Negativo
            Estiu del 93 i Marie Antoniette,Negativo
 Si el  seguim comprant el fum d i  seguirem tenint  només fum  És el moment de fer un vot de càstig i canviar les coses     ,Positivo
  La crida a no votar és intencionada     Els gilipolles en tot cas són els que hi cauen de quatre potes    Cal ser més intellegent i pensar a qui beneficia que no votem partits indepes,Positivo
Us en recordeu daquest magnífic article den Miquel Martín  Sa Riera el paradís devastat   Doncs aquesta foto ho diu tot La natura i el paisatge daquesta cala només perviurà en la literatura Lajuntament de  vol convertir Sa Riera en Sa Benidorm ,Negativo
  A mi m’agrada insultar no t’enganyis Acostumo a dir RUC    o RUCA m’ho he copiat del Bernat Dedeu ——,Negativo
 no es pot permetre el luxe de provar un bus no tripulat i alhora renunciar als punts de recàrrega de vehicles elèctrics en només uns dies La resposta del govern del PSC és del tot inacceptable si volem un projecte de ciutat modern i sostenible ,Negativo
EN DIRECTE  Nieto  Durant la Junta de Seguretat els vam insistir que el referèndum era il·legal i que la situació era de risc per la possibilitat de xocs violents  ,Positivo
Ups sembla que a la  Crida Nacional  se li ha caigut aquest tuit Seria una llàstima que romangués a Internet per a la posterioritat oi ,Negativo
No busqueu més ja teniu on dinar el proper  Al Passeig del Born  i  organitzem un DINAR POPULAR  Paella amb opció vegetariana amb aigua o vi i postres 10€ També farem un acte polític a les 1130h  NO FALTEU  ,Positivo
RT  Crònica dels aiguats a    Xavier Casals i     ,Negativo
La devoció catalana a sant Valentí és mil·lenària i des de fa tres segles i mig se n’han venerat de diferents Els coneixeu             ,Negativo
Guaita Na  va dir que  a raíz del   després va rectificar En  no recorda el que va dir que no recordava  Vés a saber I ara aquest person diu que el 8 van començar a preparar Quanta credibilitat  ,Positivo
  Heu revocat el Conveni signat durant el 155 amb lINSS,Negativo
 per si és del seu interès  dissabte tornen a Sant Jaume  Si us quda un bri d decència o dignitat ho podrieu aturar    ,Positivo
Davant el model de participació del govern Colau només ens queda pensar en aquesta imatge    ,Negativo
Tot i que confessaré que mai he estat tan feliç com en aquells escassos segons en què em va arribar la foto descontextualitzada i vaig creure que definitivament havíem perdut el Molt Honorable Que deixava de servir Catalunya per convertirse en caçador de pa,Negativo
Que algú li digui al miserable aquest de lIsrael que si tan segur està de la malversació en la compra durnes que ensenyi les factures Mentrestant són innocents el què en democràcia ve a ser la presumpció dinnocència ,Positivo
 No és el meu cas no indepe que dubtava votar Comuns i que aquest factor em fa no votarlos a Generals però sí a lajuntament,Negativo
La qüestió que ens hem de fer cadascú de nosaltres és si creiem que els tancs disparen o que no disparen La independència arribarà quan es demostri el farol de lamenaça de violència de lestat espanyol      ,Positivo
Proposo que a can diccionarivikipèdia la definició del terme CÍNIC s’acompanyi per il·lustrar de la foto d’aquest individu Quina vergonya de veritat aquest tipus de polítics sense escrúpols Quanta mentida i impostura i sense despentinarse  ,Positivo
RT  Jo no he dimitit Ha dimitit laltre Sí els dels Comuns Jo no Ho juro,Negativo
URGENT  gent de    em passen aquest missatge ATENCIÓ TOTHOM Els feixistes segueixen pels carrers del voltant de la plaça Sant Jaume mentre que per altra banda ha marxat molta gent A la plaça Sant Jaume necessiten a médls gent Van a per els que hi estan acampats,Positivo
Gràcies a tots els qui us heu interessat per la meua salut Tot ha anat be i ara comencen unes quantes setmanes de recuperació Lamente molt però que he de suspendre tots els actes públics que tenia programats els pròxims dos mesos,Negativo
Associacions de jutges a Catalunya consideren  ofensives  les paraules del fiscal de lAudiència Nacional posant en dubte la imparcialitat dels jutjats catalans ,Neutral
RT   Qui és Rosa Parks Emparper què vosaltres casa vegada us assembleu més a una altre cosa ,Negativo
 I per què no llista unitària i així ja tenim fet el referèndum  Llista unitària de tots fins hi tot la CUP,Positivo
  Montareu camps de concentració tipus gulag per reeducar als botiflers o ens matareu directament Aixo tha posat catxondoeh nazi,Negativo
Marlaska a favor de canviar la llei dacusacions populars com la de Vox  ,Neutral
Fa temps que aviso 1 L1 doctubre va ser paper mullat 2 Ens volen portar a una tupinada de referèndum manipulat on perdrem i així donar per acabat el procés ,Positivo
RT  La guia de la manifestació de la Diada de l’Onze de Setembre Tot el que necessiteu saber ,Negativo
  Em considero un pres polític aquest judici és un judici polític Diré solament la veritat Les acusacions són falses    ,Positivo
RT  LHC  li diu a la cara a lindividu de les punyetes que és un  peliculero   ,Positivo
Els  culs llogats  que treballen dins dels partits indepes molt especialment les direccions dERC i PdCat i que són gent sense ofici fora de la política i per tant condemnats a viuren della per sempre més Han decidit Obro fil,Positivo
RT  Boye i Puigdemont desmunten l’atac de la fiscalia contra SlesvigHolstein ,Positivo
Demà anirem bojos però organitzats ho aconseguirem  ,Negativo
El fenòmen  és miraculós Se´n va a  i resulta q és bisexual Deixa la política  i ella també s´ho planteja Esclaten els màsters i assegura q a ella li van oferir i va dir q no Q no parli  o dirà q va tenir vocació de monja,Negativo
Hi ha una campanya brutal dels processistes a Twitter per desacreditar i anul·lar els grans comptes dusuaris independentistes Això voleu Una República on els que no pensen com vosaltres siguin discriminats i apartats Dieu dels feixistes però vosaltres sou iguals o pitjors,Negativo
Canviem els nostres lemes i adoptem moral de victòria  Ni un pas enrere gt Sempre endavant  No esteu sols gt Estem amb vosaltres  No tenim por gt Guanyarem  Llibertat gt Independència  Sentim tristor i ràbia però cada dia tenim més clar que el camí és la República Catalana,Positivo
  Si Pots fer servir el teu dret de respondre a les preguntes dels advocats i fiscals de la sala per argumentar la teva inocència per fer un mitin com cal Total els anys de comdemna si et sentencien com culpable son teus  Només teus,Negativo
Amb  avui acompanyem  els consellers legítims   i  al TS Saben que aquest és un judici polític però estan determinats a explicarse i a demostrar que no hi va haver delicte sinó només urnes i democràcia   ,Positivo
José Antonio Nieto exsecretari dEstat de Seguretat  Lús de la força va ser el mínim imprescindible Si haguéssim prioritzat leficàcia dels operatius la violència hauria estat molt superior i leficàcia del 100    ,Neutral
RT  El sindicalisme independentista guanya les eleccions sindicals a la Generalitat  ,Positivo
Escolta  que només escoltes als del 155 i al teu superior Vicent Sanchís i ja tens prou edat i poder a  per plantarli cara A mi aquí m’hi falta el gran    — Fes RT si a tu també   ,Positivo
BREU ANÀLISI DURGÈNCIA  La defensa de  ha estat formidable  Una defensa estrictament política per oferir al món el relat de la dignitat del poble català i el seu dret a lautodeterminació  La sentència està dictada i una defensa tècnica hagués estat humiliant  GRÀCIES,Positivo
Els consellers Artadi Bosch i Calvet segueixen aquest matí el judici del Suprem des de la sala de vistes   ,Neutral
 Exactament això la gent es deixa portar per l’emoció,Negativo
Vist a Perpinyà en cartells del festival de fotoperiodisme Visa Pour l’Image La direcció del festival no ha volgut exposar fotos sobre el procés independentista a Catalunya per això el moviment catalanista de Cat Nord ha organitzat diferents exposicions per tractar el tema ,Positivo
 admet al  que va deixar el  perquè li feien  respecte  les responsabilitats penals de l1O Lexportaveu del Govern assenyala que estava  desbordada  de feina i no estava bé  anímicament  ,Negativo
RT  Dec ser jo però no veig el Fairy per enlloc   ,Positivo
RT   La democràcia també està sota judici a Espanya  diu el Washington Post ,Positivo
Davant levidència que lindependentisme es convertia en una opció majoritària es va decidir tancar el pas a qualsevol debat quan no hauria de ser competència del TC  ha afegit Junqueras   ,Positivo
B R U T A L  Dolça Catalunya alcanza las 100000000 visitas  vía ,Negativo
 UN MILER DE ROURENCS VIATGEN A MADRID I ES GRADUEN EN 30 SEGONS            ,Positivo
RT  MOSSO  El mosso desquadra que li va dir  idiota  a un manifestant sha acollit al dret a no declarar   ,Neutral
 L’advocat August Gil Matamala al  “Les preguntes a Turull no tenen a veure ni remotament amb el delicte de rebel·lió del qual se l’acusa”  ,Neutral
La única manera de posar a Catalunya dins del SXXI és tenin totes les competències i la financiació pq sigui una realitat Aquesta realitat no serà possible si no tenim la independència Encara no la tenim no vol dir que no poguem començar a treballar  ,Positivo
  Ángel Gozalo cap de la Guàrdia Civil a Catalunya l va condecorar els exveterans de la División Azul de lexèrcit nazi  Ho explica  ,Positivo
Diego Pérez de los Cobos  El pla del major Trapero era més adequat per cobrir unes eleccions normals  que no pas per prohibir un referèndum il·legal    ,Neutral
RT  Francesc Colomé No pot ser que lESO sigui un tall tan definitiu per als nostres alumnes ,Negativo
Si penses dius i fas com el partit X què fas militant en el partit Y de Maragall a Romeva o ara Alamany marxen de PSCICVComuns criticant la incoherencia quan son ells qui sen van a un partit indepe Te gracia Els ve de nou q aquells partits no ho eren que esperaven 13,Negativo
