Texto_preprocesado,Sentimiento
Aquí tenéis la miga del independentismo Alguien q llama invasores a quienes han sido elegidos democráticamente no a dedo como los presidents Alguien cuyo argumento es el insulto alguien q dice q ¡Cat es una nación ¡Y anterior a España Discípulo d Cucurull y d la estulticia ,Negativo
 Es exactamente al revés La política española y la vida en general continuarán pero en CataluÑa o el independentismo se baja del burro o seguiremos bloqueados hasta que la población los rechace rotundamente cosa que se está produciendo ya debido a la aberrante caza de brujas,Positivo
 Yo en Sant Jordi espero no encontrarme a políticos dando rosas Que no me fastidien el día,Positivo
ITALIA ha gastado 15 millones de euros en programa de empleo para inmigrantes musulmanes pero logró que solo 120 trabajen de cientos de miles  estos ilusionistas         ,Negativo
                                                  De vosotros si la nueva Arrimadas jejejeje una casada con un indepe y esta indepe increíble  para que veas   ,Positivo
Duro artículo de The Washington Post  España está juzgando a su democracia  ,Positivo
Abascal responde al boicot del PSC al gran acto de Vox en Barcelona  Sois los tontos útiles del separatismo  por    vía ,Negativo
Mandar a pegar a personas que tan sólo querían votar  Enviar a prisión preventiva a políticos por poner urnascuando varios países de Europa ya han dicho que son inocentes  Un juicio politizado de una justicia sin separación de poderes  la imagen exterior de Ñ es cojonuda oiga,Positivo
 Ten manipuladora  se te cayó el  ME ESTAS HABLANDO EN POLACO  que le suelta el fachamierda primero   ,Positivo
      Las pulgas de mi perro no son perro son pulgas aunque vivan en mi perro en Cat pasa lo mismo con el fascismo unionista  Y son muy molestas y transmiten enfermedades,Positivo
RT  “Nunca ha habido un acuerdo con los independentistas” dice Sanchez “No había condiciones” para votar a favor de la moció…,Positivo
 Lo mejor que puede hacer Arrimadas es largarse a Madrid que en breve se convertirá en el establo general de la ultraderecha,Positivo
Que manía de preguntar a  si  pactará con Vox es una fuerza de momento extraparlamentaria y además aún no conocemos su programa lo que tenemos claro es que no pactaremos con quien quiere romper España  ,Negativo
 Ya ves las preocupaciones de Cs son no pactar con el PSOE ante todo y bajo ningún concepto y mira q eso podría dejar  sin ningún poder a los indepes Q esta gente vaya por ahí contemplando q todo el mundo tenga un arma en su casa nada que mencionar supongo,Negativo
Me encantaría que me hubieran citado a declarar como testigo del  para explicar el miedo la angustia la preocupación el insomnio la tristeza la soledad y el resto de emociones negativas e intensas que sentimos en septiembre y octubre de 2017,Negativo
    Y el Parlamento está sometido al control judicial Recuérdaselo a los independentistas que tienen memoria selectiva y esta parte no les mola ,Negativo
Empieza  demostrando su capacidad oratoria Los están convirtiendo en héroes Muchas gracias estado español     ,Positivo
Maduro una pregunta ¿ De verdad tú vas a ordenar que militares y civiles armados disparen a matar contra ese río humano de ciudadanos venezolanos desesperado por pan y libertad  ¿Y Uds militares acometerán ese crimen de lesa humanidad  ,Neutral
RT  O Congresso em imagens ,Neutral
  Sofía a la calle no nos toméis el pelo,Neutral
RT  EuroVisión del padecimiento  y el grito de Munch por Xavier Sardà ,Negativo
Pues yo creo que sí nos quitan a Arrimadas de Cataluña debería ser para ir de número 1 Para ir de nº 2 mejor que no nos deje ,Negativo
Vergonzoso ataque de Álvaro Ojeda a Àlex Granell por dar apoyo a los presos  vía  ,Positivo
Viendo quién está apoyando al golpista de Guaidó me reafirmo que estamos en el lado correcto compañer Casado Rivera Abascal Sánchez Carmena Trump Macrón UE y este individuo apoyan el golpe ,Positivo
 Yo he soñado esta noche que el Congreso Madrileño  estaba lleno de diputados Catalanes  indepe Me he levantado de contenta Yo votaré,Positivo
Hoje tive a alegria de almoçar com dois queridos amigos o Ministro Ernesto e a Ministra Damares   No cardápio amor pelo Brasil fidelidade ao nosso Presidente e uma deliciosa sobremesa via whatsapp com nosso amigo o prof Olavo de Carvalho ,Neutral
El actual presidente de la Cámara catalana reivindica un segundo referéndum para solucionar la crisis territorial “Tengan presente que volveremos a votar”  ,Neutral
¡Atentos El lobby del juego se reunió con 96 políticos españoles en 2018 para presionar a favor del sector Y aparecen estos nombres Pío Cabanillas y Rafael Catalá Codere al exdiputado Andrés Ayala Orenes ¿  o     ,Positivo
 Más allá de que pinte mal para Trapero pinta mal para Forn y para todos Esto está orquestado desde arriba La orden y el guión parten de la GenCat pasan por ANC y Omnium Mossos CDRs y grupos varios ¿TÍTULO DE LA PELÍCULA  Todos eran golpistas y un poco imbéciles ,Negativo
¿Quién si no Ciudadanos iba a resucitar a Puigdemont para la campaña de las generales En este show que nos debilita a todos como país se necesitan los unos a los otros   Puigdemont recoge el guante de Arrimadas y la recibirá en Waterloo ,Positivo
Vilalta alerta de que el PSOE quiere aprovechar la no tramitación de los Presupuestos “para hacer electoralismo” a costa del independentismo  ,Neutral
¿Alguien conoce algún argumento a favor de la independencia de Cataluña Quiero hacer un hilo contraargumentándolos pero se me ocurren pocos  ¿me ayudas,Positivo
Parte de la izquierda en este país ha comprado el relato de los separatistas Colau o Iceta son ejemplos de personas que avalan el discurso de los mediadoresrelatores ,Negativo
El  no va apoder gobernar en la próxima legislatura sin el apoyo de los partidos independentistas EH Bildu va a permitir parar a la derecha y poner encima de la mesa una negociacion con el Estado en termino de país no en términos de partido  ,Positivo
Tras el linchamiento indepe a Montserrat del Toro en redes ,Negativo
Nova coluna no ar  Gostei muito de escrevêla porque exigiu bastante pesquisa em uma área nova a política como entretenimento   Bolsonaro é um produto midiático da cultura do espetáculo  ‘Política é show business para pessoas feias’  por ,Neutral
 El único cambio que se debe realizar en la avenida Príncep dAstúries es renombrarla por Princesa de Asturias   quiere un cambio de nombre para complacer a los separatistas con vistas a futuros pactos en Barcelona    ,Negativo
  Tienes razón q Cataluña está a años luz de Esp En Cataluña se vive en un régimen dictatorial al son de lo  adicta el Govern y sus medios de propaganda  lo más parecido a la sociedad indepe es Corea del Norte,Negativo
Junqueras només respon a les preguntes de la seva defensa    ,Neutral
Ada Colau no participará en el besamanos al rey con motivo de la cena del Mobile World Congress por considerar que es  un acto de pleitesía y vasallaje impropio de una democracia del siglo XXI    ,Positivo
Arrimadas podría anunciar su salto a la política nacional hoy mismo ,Neutral
teve amor teve compaixão teve soliedariedade teve gigantismo Não somos inimigos somos rivais Somos sereshumanos  ,Neutral
De que vais escoria humana Buscáis guerra y vais a tener que hacerla vosotros contra vuestras propias paranoias Tan solo sois unos malnacidos a las órdenes de un PISTOLERO que se cree un dios Y os vamos a reventar en las urnas el 28A   ,Positivo
No entiendo la pregunta esta  Es usted socio de ANC y de Òmnium   A ninguno de los interrogados por la Gurtel o las tarjetas Black les preguntaron si su gobierno daba subvenciones a la Fundación Francisco Franco   ,Positivo
El  con  ha traicionado a todos los Catalanes que defendemos la unidad de España   Declaraciones de nuestro Presidente  en el   ,Negativo
 A lo mejor no solo no lo aceptamos sino que le damos la bienvenida a un poco de decencia socialista que diga que ya está bien de tanta tontería y cesión a políticos separatistas y golpistas La justicia os espera A todos,Negativo
RT  Inés Arrimadas quan posi el peu a Madrid per a quedarshi   Soy madrileña Esta es mi tierra ,Positivo
INDIGNACIÓN TOTAL DE TODA LA COMUNIDAD POR ESTA NOTICIA  ¡Y bomberos y forestales MANIFESTÁNDOSE y creando altercados de uniforme con TOTAL IMPUNIDAD  Asuntos Internos cita a declarar al mosso del  La república no existe idiota    si te indigna  ,Negativo
Para Ada Colau todos tienen lengua materna menos los que hablan español       ,Negativo
 No os perdáis como el periodista Xavier Rius desmonta todas las mentiras del separatismo en menos de cinco minutos Lo podéis ver en el siguiente enlace ,Negativo
Además los medios de comunicación árabes bombardean constantemente a la población con toda una estrategia para demonizar a los españoles Algunos políticos árabes los califican de terroristas golpistas y criminales Les acusan de violentos cuando solo fue violenta su policía,Positivo
El mismo libreto que Jose Antonio Nieto al afirmar que no hubo cargas policiales Si escribes en Google  cargas policiales 1 octubre  se le cae a uno la cara de vergüenza ,Positivo
Padraic Kenna “Mientras a los bancos les interese que el precio de la vivienda sea alto los políticos no podrán hacer nada  ,Neutral
RT  El funcionariado hunde a la defensa de los golpistas  vía ,Negativo
TIC tac TIC tac   Cuidaooo Que venen drones indepes a tot arreu  Bonito día te ha quedado hoy jefa    ,Positivo
Si ofreces competencias para lograr satisfacer a ese nacionalismo siempre habrá cosas para sentirse insatisfecho Es un error querer satisfacer al nacionalismo con más competencias   ,Negativo
Qué calladitos estáis  golpistas fascistasno os está gustando mucho el juicio ehhhhhhh  Golpistas  fascistas y violentossois más chulos que un ocho ,Negativo
Os he contado que yo trabajo con unos cuantos indepes  Pues eso ,Neutral
   Causa sonrojo o vergüenza ajena escuchar a Quim Torra cuando manosea conceptos como democracia o libertad  por   ,Negativo
  A huevo 100 heridos entre 2000 colegios   gt 005 policías heridos x colegio  Vaya rebelión de mierda  Mucho ruido de tumulto y pocas nueces    Tergiversa i difama que algo queda   ,Positivo
 A mí me sorprende el buenísimo de aquellos que les apoyan sin ser indepes  Les dices no son superiores ni diferentes ni mejores Solo quieren deshacerse de lo q creen inferior y una carga Y no lo ven Es más guay apoyar a los burgueses luego van de solidarios Q tecla tocan,Negativo
Tomando uma antes do fut,Neutral
Los CDR siguen campando a sus anchas por toda CAT Hasta el punto de que ya no sólo se atreven a acosar a jueces y políticos a atacar sedes judiciales Han ido un paso más allá y han atacado con pintura amarilla el cuartel de la GC de Vic  ,Negativo
 alguien mencionará a la bien pagà Mónica Terribas y sus llamadas desde   para conocer desplazamientos de vehículos  y    ¿      ,Negativo
Este tipo cuyo cargo no ha sido votado que su título es impuesto por un dictador fascista y cuya familia su fuente de  legitimidad  es un nido de opacidad corrupción y latrocinio nos da lecciones de democracia   A la porra,Positivo
Trivagos Hooligans Sin Vergüenza ladran antes de su “jauría” dominguera    Para ilegalizar a los condenados por corruPPción Desenmascarar a mentirosos que paC’stan Paquí Pallá Combatir el fascismo de los perros VXeros  ¡NO PASARÁN  ,Positivo
           El  todasos la Izquierda los progresistas los ciudadanos con sensatez y sentido común tenemos q ir a     ,Negativo
  El de el Hospital de sant Esteve se piensa el ladrón que todos somos de su condición Pides grabaciones vídeos como hacen los indepes de los lazitos amarillos que todo lo premeditar y preparan para maquinar y urdir intrigas Vete y acuéstate en un cama del Hospi Ay no hay,Negativo
En un país normal Irene Lozano   ex UPyD  habría dimitido por comparar votar con violar y por pasarse la presunción de inocencia por el entreforro  Pero en España la premiarán      ,Positivo
Ponte en situación y atrévete a levantar la voz para discrepar rodeado de simbología golpista con el supremacista jefe y todos sus cortesanos coreando en un hospital síun HOSPITAL  ,Negativo
  Cáncer Faltando al respeto a los q han sufrido un cáncer La independencia d CAT es un proyecto tan legítimo como la unidad ESP Si hay 23 millones d independentistas y creciendo cómo vas a extirpar Estilo Franco Habrá q recurrir más bien a referéndum O quieres imponer ESP,Positivo
 Soraya Rodríguez se da de baja en el PSOE por discrepancia profunda con la política del partido con el independentismo ,Neutral
Albert Rivera haciendo campañaluego no vengáis diciendo que no lo sabíaispor cierto este caballero en contra de la subida del SMI de Podemospara el hay prioridades y queda claro que no es la gente y sus necesidades   ,Positivo
   directora de     Votar en un referéndum ilegal es como cometer una violación sexual   El entrevistador se escandaliza de sus palabras Nacionalismo español en grado máximo     ,Positivo
RT  El miércoles comienzan las testificales Primero los políticos y después los testigoses decir lo interesante ,Negativo
Empresarios independentistas concurren a las elecciones a todas las cámaras catalanas  ,Neutral
Después de escuchar a Roger Torrent ayer   creo que debe ser de  por que vamos tengo cada vez más claro que en el Parlament de Catalunya  debe existir una fuerza como VOX para molestar a los independentistas,Negativo
 Es una vergüenza que en España haya gente mintiendo delante de un juez y aquí no pasa nada Que todo no fué proporcional lo sabe medio mundo Y hasta el PSOE presentó una queja contra SSS El 80 de Cataluña está flipando De esta injusticia saldrá un 80 de indepes,Positivo
  limpiate la boca cuando hables de la  y nombres la palabra  La  es el Cuerpo de Seguridad con mayor  y el q  ha sufrido la violencia de tu banda  esa  cobarde deleznable,Negativo
   Había lo menos 3 o 4 esteladas lo que hay que ser es muy corto para relacionar independentismo o unionismo con unos marroquíes que casi no saben ni hablar castellano Es como si yo digo ahora que son futuros votantes indepes,Negativo
   Estos se piensan que en Canada no vieron las imagenes Como hace frio el twitter estaba congelado el 1 de octubre de 2017,Positivo
     No se q entiendes por nacionalismo pero yo tpc lo quiero y por supuesto nada identitarioétnico ni parecido al proceso yugoslavo  Hablo solo d decidir democráticamente como se organiza cualquier Sociedad,Positivo
Contatinhos e sofrer pela mesma pessoa é coisa de adolescente adulto fica esperando o melhor dia do cartão pra fazer a compra ,Neutral
En el lugar de O Coto en San Juan  sobre el Rio Deva se alza el  románico  testigo  de la  de la  que se libro contra los  en  de 1809 es  única que nos    ,Positivo
   Díselo a tu compañera de hilo que va generalizando y clasificando en dos bandos indepes y noindepes,Positivo
 Divide y vencerás A quien pone el lazo amarillo y a quien lo quita La Banca y el FMI se quedan con su guita ,Negativo
Es incomprensible como Cs está desapareciendo por voluntad propia de Cataluña tras su victoria en las autonómicas Primero sacrificaron las siglas y ahora a Arrimadas Y todo para hacerle hueco al impostor francés de Valls Va a ser verdad que los gobiernan desde París,Negativo
Alejandro Fernández va a Madrid a pedir un nuevo 155  Es una solución política  vía  ,Negativo
El  guardia civil suspendido por grabar desde dentro del  coche policial tras el furgón de los golpistas actuó mal Pero eso es un expte y una falta leve Suspenderlo de inmediato es una evidencia de la desvergüenza del director general y los políticos de Interior Cobardes,Negativo
  Desde España estaremos pendientes de su salida,Neutral
He podido hablar a la hora de comer con un socialista de los de siempre con principios con sentido de estado con dos dedos de frente y solo puedo decir ,Negativo
Sánchez no  se cierra  a volver a pactar con los independentistas tras las elecciones del 28 de abril ,Negativo
El Ministerio del Interior veta que el president lleve seguridad oficial de Mossos en el acto que compartirá esta tarde con Puigdemont ,Neutral
   Están deseando que los catalanes monten un follón de tres pares que haya violencia y así decir que esto es terrorismo y no tiene nada que ver con la independencia es así son así solo buscan que su relato violento sea eso violento,Positivo
RT  Deberías aprovechar que están los presos en Madrid para contarnos que Aravaca no es Harvard so facha ,Positivo
Peter Gabriel apoya la causa democrática de Catalunya El apoyo internacional empieza a ser contundente y deja en evidencia al estado Español  ,Positivo
 La Fiscalía investiga a los independentistas que han difundido la fotografía de la secretaria judicial del 1O  Son así de ratas y de miserables ,Negativo
Una grabación desvela el presunto cobro del PSOE andaluz de comisiones del 33 a empresas subvencionadas  Seguimos Con La Corrupción del PSOE Ni el 3 ni el 4 El 33 SeñoresY los va a Votar Rita La Cantaora En Las Generales ,Negativo
Os traduzco como no respetamos la democracia obviamos las mayorías parlamentarias necesarias e imponemos nuestras medidas en contra del pueblo ,Negativo
Todo lo que se dice acerca de restaurar la democracia en Venezuela es solo un encubrimiento para configurar países latinoamericanos según los criterios estadounidenses  reiteró el director del departamento de América Latina de la Cancillería rusa ,Positivo
 Eres una excelente muestra de que hoy en dia en los círculos cercanos al govern no es el talento lo que hace triunfar Ni siquiera la gracia o la profesionalidad,Negativo
El ex consejero y actualmente fugado de la justicia Toni Comín pide al separatismo que suba la tensión en Cataluña ,Negativo
  La verdad la sabe ella y los que iban con ella nadie más y quién determina si es verdad o no es un juez Eso es de primero de democracia algo que escasea en Catalunya,Negativo
Es que ya estoy viendo a Puigdemont sacando una bandeja de pastitas e invitando a Arrimadas a un té demostrando lo dialogante y buenrrollista que es Pero a quién se le ocurre darle al prófugo esa tarde de gloria,Negativo
Lo dice la sumisa del 155 Pues no dimitió entonces y bien se arrodillo bajo las mesas de sus represores Y eso tiene un nombre ,Negativo
RT  Será que Moro vai se auto prenderse a si próprio rsrsrsrsrsrsrsrs ,Neutral
De los Cobos  Se decía que se estaba intentando aplicar el artículo 155 por la puerta de atrás   Se hizo uso de la fuerza en probablemente 100 colegios electorales   Marchena decide dar por acabada la sesión de hoy y seguir mañana a partir de las 930h ,Positivo
Aquí el tuit ya borrado al que se ha referido Millo en el juicio ¿El autor Toni Alba Se publicó mintiendo sobre el origen de la foto sugiriendo que se trataba de un herido el 1 octubre ,Negativo
 Concordo definitivamente ODiego e tipo BBB antes dessa turminha que acha lindo as plantinhas fazendo fotossíntese,Neutral
Deixo a minha principal crítica  POTTKER NÃO PODE SER TITULAR SE FOR TITULAR NÃO PODE TERMINAR UMA PARTIDA JOGANDO ESSA BOLINHA  NINGUÉM PODE SER INTOCÁVEL,Neutral
Te cuentan en directo como la policía entra sin hacer uso de la fuerza en el colegio de Puigdemont el 1O Pero resulta que entraron destrozando las puertas en el interior había prensa internacional conectando en directo ,Positivo
Pues Yo me he levantado sintiéndome ciudadano del imperio Cartaginés Exijo poder autodeterminarme como ciudadano de Carthago inmediatamente mediante referéndum en el que puedo votar únicamente yo Autodeterminarse no es un delito Estado Español fascista  ,Negativo
RT   Aquí estoy  Votando a vox desde las primeras elecciones a las que se presentaron,Negativo
                 ¿Una república burguesa como la yanqui la alemana o la francesa dónde siguen mandando los mismos y se cambia de explotador De eso nada yo estoy por la República Democrática Popular dónde el poder sea DE VERDAD de la gente,Negativo
 Lo dice el presidente del primer partido condenado por corrupción que tiene casos abiertos políticos condenty en la cárcel que paga en dinero B y que pacta con partidos de la extrema derecha Todo muy legal si ,Positivo
RT  Essa é a velha política  Jornalista o Brasil mudou e muitos não querem aceitar isso  ,Neutral
El presidente lamenta que el independentismo “tiene pavor a sentarse a dialogar” pero no descarta pactos “Tampoco me cierro a Cs Podemos o el PP”  ,Neutral
“No les di órdenes sobre el referéndum  ha dicho Forn sobre los Mossos ,Negativo
El prófugo Puigdemont se ha colado en una exposición sobre el catalán en el Parlamento Europeo Le acompañaban el resto de fugados El pobre se alimenta de esos numeritos para aparentar que pinta algo en Europa y así convencer a los catetospara apuntarse a la Crida por 10€ ,Negativo
Pues a mí no me parece tan descabellado Es una noticia esperanzadora Un noticia que nos transmite que el nacionalismo tiene cura ,Negativo
 ha convertido el  en el club privado de los separatistas e impide que el partido más votado en Cataluña defienda a todos los catalanes ,Negativo
RT   no cantes victoria todavía le queda la carta del 155 ,Positivo
Ferrovias aeroportos e rodovias no Brasil e não em países alinhados ideologicamente desviando nosso dinheiro como Cuba e Venezuela O carioca o brasileiro e os contribuintes agradecem os investimentos que trarão empregos e desenvolvimento para nosso Brasil ,Neutral
  Recuerdo perfectamente como ese dia desde medios radiofónicos afines al prusés hicieron llamamientos a la movilización Si no veo a estos tipos entre rejas dejo de confiar en la justicia española ,Negativo
 Pero si q estás de acuerdo q paguemos  la mrda de campaña de España para limpiar su imagen deteriorada y sin futuro Sabes que preferimos pagar antes 1000 agentes privados para proteger a nuestro President Puigdemont ,Positivo
RT  No dice ni del asesinato ni de los motivos para tomar la decisión de asesinarlo ,Neutral
En cuanto al diálogo todos saben y admiten que la crisis catalana con un empate catastrófico entre indepes y no indepes es una apuesta de largo plazo que solo es viable si no alcanza el poder el frente nacional tradicionalista de PP Cs y Vox Que pide ilegalizaciones y 155,Neutral
Chile se volvió un país corrupto empresarios prebendarios políticos corruptos e instituciones débiles Por eso es tan importante que la sociedad civil se empodere y saque la voz El principal activo de nuestro país era la honestidad,Negativo
El tenista destacó que la solución al conflicto pasa por la convivencia ,Neutral
Durante años he visto como en Cataluña se establecía el discurso único separatista No ha habido contradiscurso por parte de los constitucionalistas No es que haya fallado es que no ha habido Ya iba siendo hora de que la gente hable sin reparos al menos fuera de Cataluña,Negativo
  Está siendo un juicio precioso cada uno tira para un lado todos culpan a los demás Uno se defiende con chulerías políticos Otros intentan salvar el pellejo Y los que ni se enteran de nada Aplauden,Negativo
Vara considera que el votante  debería castigar al partido que se niega a dialogar   No te EquivoquesEl Votante Va A Castigar a TÚ Partidoal qué Dialoga Con Filoetarras e IndependentistasPor eso  YO  ,Negativo
  La mayoría de Catalanes queremos quedarnos huérfanos políticamente de ti eres una lacra para la democracia y libertades de todos sus habitantes ¡lárgate Ya Y dejanos vivir en paz,Negativo
El periplo de los familiares de los presos políticos 1400 km por 40 minutos de cristal ,Positivo
RT  Quem te cu tem medo ,Neutral
 Nieto  El uso de la fuerza el 1O fue el mínimo imprescindible  Queremos agradecer la valentía de janietob en el  del 1O por defender la labor de la policia y guardiacivil aquel día   ,Negativo
 ¿fascismo seguro Ell se autodenominan socialistes todo lo contrario,Negativo
Ahora viene el turno de lo gratuito No se lo pueden creer  En su paradigma no existe el “Sin ánimo de Lucro”     ,Positivo
Su referéndum ilegal nos ha costado la fuga de miles de empresas de Cataluña La fuga de millones de euros en depósitos  Y siguen  con lo mismo ,Negativo
RT   “Espero y deseo que el ejército de Venezuela se mantenga protegiendo la democracia y la paz” ,Negativo
                                                 A mi amigo  no le dejo de seguir como a quien se ha puesto en su perfil que va a votar a VOX y a quien insulta a PedroSánchez y al PSOE porque nos hicimos amigos hace un año en un hilo con una amiga navarra independentista discutiendo por la independencia,Positivo
Maldita monarquía medieval wahabita de  q ha hambreado al pueblo    Maldita monarquía moderna corrupta d  que le ha suministrado armas  Malditos sionistas de  y yankee  que están detrás de éstas marionetas  Esa es la  ,Positivo
 Votar algo que ha prohibido el Tribunal constitucional por incumplir y saltarse las leyes y la constitución españolas aparte de saltarse el Estatut y las leyes de un Parlamento cambiando arbitrariamente su funcionalidad para conseguir la ley de transitoriedad Si es delito,Negativo
          Los tractorianos del Proceso llevan siempre  dodotis puestos Pobres iluminados  ¿Qué república ni qué collons La república no existe idiota    ,Negativo
  La España que queremos es la España que nuestros ciudadanos quieren  Una España feminista con igualdad de oportunidades Una España próspera y ecologista  Una España de la que nadie tenga que irse y de la que nadie quiera irse   ,Negativo
   A la línea de siempre de los separatistas llorar mintiendo manipulando y sacando de contexto lo que dicen,Negativo
Después del 0 1  del Bernabeu en un bar de Barcelona cuatro madridistas se dieron a insultar a todos los culés que habíamos presenciado el partido y a los políticos presos No hicimos caso   Los merengues son malos ganadores pero de perdedores se vuelven animales rastreros ,Positivo
RT  arc de triomf también conocido como el sitio más friki gracias por tanto,Neutral
 se reúne con  para presentar   trasladó a  su “absoluto compromiso con  y la institución federativa” refrendando       ,Negativo
La empresa TSystems pertenece a un grupo cuyo principal accionista es el Estado alemán ese mismo que permitió que el golpista Puigdemont volviera a campar a sus anchas por buena parte de los países europeos ,Negativo
No os engañéis Lo del 14 anoche en el Berbenabeu no es más que otra táctica del Estado Hispánico para desviar la atención sobre la farsa del juicio a los presos políticos Buenos días sedicios rompepatrias PUTASPANYA FASCISTA Que bien me he quedado,Positivo
Venezuela entera los 24 millones la mayoría protesta contra Maduro  Imágenes impactantes del multitudinario apoyo a la oposición y a Guaidó No se las pierdan  ,Neutral
 A los independentistas les choca más la histeria del Fairy que lo que escribe cada día Gabriel Rufián porque están bien informados   ,Negativo
  Gracias a los que participan 1 Haz   2 Sigue a los que retuitean 3 Sigue a quien te siga 4 Escribe un nuevo tuit con el hashtag        ,Negativo
 Hubo heridos No recuerdo La policia pegó No recuerdo El referéndum era lega Pues claro que no España es una grande y libre Por Santiago que si España es uan democracia Claro Franco vive en mi,Positivo
Surrealistas declaraciones en el interrogatorio a Jorge Sánchez Em la causa contra el “procés”  Falsario arrogante mentiroso y manipulador así discurre la testifical del totalitario golpista que niega hechos e  imágenes que le imputan las acusaciones   ,Negativo
 La izquierda necesita enfrentar para sobrevivir Su «lucha de»clases género no es mas que dividir y enfrentar para gobernar A ver si los políticos frenáis esta espiral de odio y rencor antes de que sea tarde,Negativo
Vives en un país el que 1 golpista amigo de asesinos fascista delincuente inútil secesionista incitador al odio y violencia hipócrita y demagogo es un Diputado de tu Congreso y por todas esas lindezas tú tú tú y yo le pagamos 100000€año OJO al rufián tela ,Negativo
Nazis es poco  Un Apartheid de militares y guardias civiles en la constitución catalana  ,Negativo
  Es lo que tiene ser un golpista que te vas al trullo 15 años,Negativo
    Sí Soy parte de “el pueblo” contra los golpistas  parte de los que se sienten expoliados y amenazados por los separatistas Como muchos millones que damos nuestras vidas por aportar lo mismo o más a nuestros hijos de lobque hemos recibido  No seré extranjero en mi tierra,Negativo
Pues aplicarían el 155 pero por las preguntas del fiscal ni puta idea de cómo funciona la Gene no Ahora a robar proyectos hasta de investigación si les dió tiempo,Positivo
Acabar con el Rey el 155 y con  los privilegios franquistas  los 21 puntos que Torra presentó a Sánchez ,Neutral
Las diez frases de Turull en el juicio del procés El exconseller asegura que siempre se buscó que el referéndum del 1O fuera pactado ,Neutral
   debe repensarlo y anularlo No puede caer en el circo de Puigdemont Va su prestigio,Negativo
Se envuelven en banderas para hablar de patria y luego la saquean  La patria la defienden los que quieren subir el salario mínimo las pensiones regular el precio de los alquileres bajar el recibo de La Luz blindar la Sanidad    ,Positivo
Tal com ha dit el meu marit un home fantàstic el truc per preguntar a Del Toro era  ¿Es socia de ANC  No  ¿Es socia de Òmnium  No  ¿Es socia de Unidad Nacional Española  Ehemno  ¿Es socia militante o simpatizante de Ciudadanos  I Marchena implosiona ,Positivo
 Es usted una vergüenza como persona y un absoluto fascista de los de verdad este criminal no se merece ningún tipo de homenaje ni consideración ya lo dije la batasunización de los independentistas catalanes está a un paso muy corto,Negativo
 Vagabundo é foda cria,Neutral
Dank je Ajax De Jong   España y el Real Madrid se caen a trozos Esto no se va ni con AJAX ni con Fairy  Enésimo fracaso del ser superior Florentino pérez corrupto La caspa de la españa más rancia  el palco del bernabeu    ,Positivo
RT  Disfruta del juicios a los golpistas catalanes con el Lote 155 de ⁦⁩  ,Negativo
Esta muy bien lo de  la trampa Fairy  Pero nadie le pregunto por el generalizado brote de alergia que sufrieron los agente no sería un ataque con armas química de los Cdrs    ,Positivo
La ultraderecha española comienza a aplicar en España el manual golpista de la ultraderecha venezolana Necesitan recuperar el gobierno para continuar robando y les vale todo,Positivo
EN DIRECTE Es reprèn el judici amb la declaració de José Antonio Nieto número dos de Zoido i Puigserver responsable del 155 a Interior Això promet ,Positivo
Si tu no vas ellos vuelven Racistas Xenófobos Homófobos  Misóginos Defensores del maltrato animal Fascistas Vuelve lo más rancio del pasado El  impidió no permitas que nos gobiernen  vete y VOTA   a tod  ,Positivo
PP Cs y Vox apoyan que la Generalitat devuelva parte de los Papeles de Salamanca También piden que no se hagan más entregas a los  separatistas que quieren romper la unidad de España  ,Neutral
